State Abbreviation,State,William McKinley Electoral Votes,William J. Bryan Electoral Votes,William McKinley Popular Votes,William McKinley Percent,William J. Bryan Popular Votes,William J. Bryan Percent
AL,Alabama,,11,55634,34.7,96368,60.1
AR,Arkansas,,8,44800,35.0,81242,63.5
CA,California,9,,164755,54.5,124985,41.3
CO,Colorado,,4,92701,42.0,122705,55.5
CT,Connecticut,6,,102572,56.9,74014,41.1
DE,Delaware,3,,22535,53.7,18852,44.9
FL,Florida,,4,7463,18.8,28273,71.1
GA,Georgia,,13,34260,28.2,81180,66.9
ID,Idaho,,3,27198,47.9,28260,49.8
IL,Illinois,24,,597985,52.8,503061,44.4
IN,Indiana,15,,336063,50.6,309584,46.6
IA,Iowa,13,,307799,58.0,209261,39.5
KS,Kansas,10,,185955,52.6,162601,46.0
KY,Kentucky,,13,226801,48.5,234889,50.2
LA,Louisiana,,8,14234,21.0,53668,79.0
ME,Maine,6,,66413,61.7,37822,35.1
MD,Maryland,8,,136151,51.5,122237,46.2
MA,Massachusetts,15,,238866,57.6,156997,37.8
MI,Michigan,14,,316014,58.1,211432,38.9
MN,Minnesota,9,,190461,60.2,112901,35.7
MS,Mississippi,,9,5707,9.7,51706,87.6
MO,Missouri,,17,314092,45.9,351922,51.5
MT,Montana,,3,25409,39.8,37311,58.4
NE,Nebraska,8,,121835,50.5,114013,47.2
NV,Nevada,,3,3849,37.8,6347,62.2
NH,New Hampshire,4,,54799,59.3,35489,38.4
NJ,New Jersey,10,,221707,55.3,164808,41.1
NY,New York,36,,822013,53.1,678462,43.8
NC,North Carolina,,11,132997,45.5,157733,53.9
ND,North Dakota,3,,35898,62.1,20524,35.5
OH,Ohio,23,,543918,52.3,474882,45.7
OR,Oregon,4,,46526,55.2,33385,39.6
PA,Pennsylvania,32,,712665,60.7,424232,36.2
RI,Rhode Island,4,,33784,59.7,19812,35.0
SC,South Carolina,,9,3525,7.0,47173,93.0
SD,South Dakota,4,,54574,56.7,39538,41.1
TN,Tennessee,,12,123108,45.0,145240,53.0
TX,Texas,,15,131174,30.9,267945,63.1
UT,Utah,3,,47089,50.6,44949,48.3
VT,Vermont,4,,42569,75.7,12849,22.9
VA,Virginia,,12,115769,43.8,146079,55.3
WA,Washington,4,,57455,53.4,44833,41.7
WV,West Virginia,6,,119829,54.3,98807,44.8
WI,Wisconsin,12,,265760,60.1,159163,36.0
WY,Wyoming,3,,14482,58.6,10164,41.1
