State Abbreviation,State,Theodore Roosevelt Electoral Votes,Alton B. Parker Electoral Votes,Theodore Roosevelt Popular Votes,Theodore Roosevelt Percent,Alton B. Parker Popular Votes,Alton B. Parker Percent
AL,Alabama,,11,22472,20.7,79797,73.4
AR,Arkansas,,9,46760,40.2,64434,55.4
CA,California,10,,205226,61.9,89294,26.9
CO,Colorado,5,,134661,55.3,100105,41.1
CT,Connecticut,7,,111089,58.1,72909,38.1
DE,Delaware,3,,23705,54.1,19347,44.1
FL,Florida,,5,8314,21.2,27046,68.8
GA,Georgia,,13,24004,18.3,83466,63.7
ID,Idaho,3,,47783,65.8,18480,25.5
IL,Illinois,27,,632645,58.8,327606,30.4
IN,Indiana,15,,368289,54.0,274356,40.2
IA,Iowa,13,,307907,63.4,149141,30.7
KS,Kansas,10,,213455,64.9,86164,26.2
KY,Kentucky,,13,205457,47.1,217170,49.8
LA,Louisiana,,9,5205,9.7,47708,88.5
ME,Maine,6,,64438,67.1,27648,28.8
MD,Maryland,1,7,109497,48.8,109446,48.8
MA,Massachusetts,16,,257813,57.9,165746,37.2
MI,Michigan,14,,361863,69.5,134163,25.8
MN,Minnesota,11,,216651,74.0,55187,18.8
MS,Mississippi,,10,3280,5.6,53480,91.1
MO,Missouri,18,,321449,49.9,296312,46.0
MT,Montana,3,,33994,53.5,21816,34.3
NE,Nebraska,8,,138558,61.4,52921,23.4
NV,Nevada,3,,6864,56.7,3982,32.9
NH,New Hampshire,4,,54157,60.1,34071,37.8
NJ,New Jersey,12,,245164,56.7,164566,38.0
NY,New York,39,,859533,53.1,683981,42.3
NC,North Carolina,,12,82442,39.7,124091,59.7
ND,North Dakota,4,,52595,74.8,14273,20.3
OH,Ohio,23,,600095,59.7,344674,34.3
OR,Oregon,4,,60309,67.3,17327,19.3
PA,Pennsylvania,34,,840949,68.0,337998,27.3
RI,Rhode Island,4,,41605,60.6,24839,36.2
SC,South Carolina,,9,2570,4.6,53320,95.4
SD,South Dakota,4,,72083,71.1,21969,21.7
TN,Tennessee,,12,105363,43.4,131653,54.2
TX,Texas,,18,51307,22.0,167088,71.5
UT,Utah,3,,62446,61.4,33413,32.9
VT,Vermont,4,,40459,78.0,9777,18.8
VA,Virginia,,12,48180,36.9,80649,61.8
WA,Washington,5,,101540,70.0,28098,19.4
WV,West Virginia,7,,132620,55.3,100855,42.0
WI,Wisconsin,13,,280314,63.2,124205,28.0
WY,Wyoming,3,,20489,66.9,8930,29.2
