State Abbreviation,State,William H. Taft Electoral Votes,William J. Bryan Electoral Votes,William H. Taft Popular Votes,William H. Taft Percent,William J. Bryan Popular Votes,William J. Bryan Percent
AL,Alabama,,11,25561,24.3,74391,70.7
AR,Arkansas,,9,56684,37.3,87020,57.3
CA,California,10,,214398,55.5,127492,33.0
CO,Colorado,,5,123693,46.9,126644,48.0
CT,Connecticut,7,,112815,59.4,68255,35.9
DE,Delaware,3,,25014,52.1,22055,45.9
FL,Florida,,5,10654,21.6,31104,63.0
GA,Georgia,,13,41692,31.4,72413,54.5
ID,Idaho,3,,52621,54.1,36162,37.2
IL,Illinois,27,,629932,54.5,450810,39.0
IN,Indiana,15,,348993,48.4,338262,46.9
IA,Iowa,13,,275210,55.6,200771,40.6
KS,Kansas,10,,197316,52.5,161209,42.9
KY,Kentucky,,13,235711,48.0,244092,49.7
LA,Louisiana,,9,8958,11.9,63568,84.6
ME,Maine,6,,66987,63.0,35403,33.3
MD,Maryland,2,6,116513,48.8,115908,48.6
MA,Massachusetts,16,,265966,58.2,155533,34.0
MI,Michigan,14,,333313,61.9,174619,32.4
MN,Minnesota,11,,195846,59.1,109411,33.0
MS,Mississippi,,10,4363,6.5,60287,90.1
MO,Missouri,18,,347203,48.5,346574,48.4
MT,Montana,3,,32471,46.9,29511,42.6
NE,Nebraska,,8,126997,47.6,131099,49.1
NV,Nevada,,3,10775,43.9,11212,45.7
NH,New Hampshire,4,,53144,59.3,33655,37.6
NJ,New Jersey,12,,265298,56.8,182522,39.1
NY,New York,39,,870070,53.1,667468,40.7
NC,North Carolina,,12,114887,45.5,136928,54.2
ND,North Dakota,4,,57680,61.0,32884,34.8
OH,Ohio,23,,572312,51.0,502721,44.8
OK,Oklahoma,,7,110473,43.4,122362,48.1
OR,Oregon,4,,62454,56.5,37792,34.2
PA,Pennsylvania,34,,745779,58.8,448782,35.4
RI,Rhode Island,4,,43942,60.8,24706,34.2
SC,South Carolina,,9,3945,5.9,62288,93.8
SD,South Dakota,4,,67536,58.8,40266,35.1
TN,Tennessee,,12,117977,45.9,135608,52.7
TX,Texas,,18,65605,22.4,216662,74.0
UT,Utah,3,,61165,56.2,42610,39.2
VT,Vermont,4,,39552,75.1,11496,21.8
VA,Virginia,,12,52572,38.4,82946,60.5
WA,Washington,5,,106062,57.8,58383,31.8
WV,West Virginia,7,,137869,53.4,111410,43.2
WI,Wisconsin,13,,247744,54.5,166662,36.7
WY,Wyoming,3,,20846,55.4,14918,39.7
