State Abbreviation,State,Woodrow Wilson Electoral Votes,Theodore Roosevelt Electoral Votes,William Howard Taft Electoral Votes,Eugene V. Debs Electoral Votes,Woodrow Wilson Popular Votes,Woodrow Wilson Percent,Theodore Roosevelt Popular Votes,Theodore Roosevelt Percent,William Howard Taft Popular Votes,William Howard Taft Percent,Eugene V. Debs Popular Votes,Eugene V. Debs Percent
AL,Alabama,12,,,,82438,69.9,22680,19.2,9807,8.3,3029,2.6
AZ,Arizona,3,,,,10324,43.6,6949,29.3,2986,12.6,3163,13.4
AR,Arkansas,9,,,,68814,55.0,21644,17.3,25585,20.5,8153,6.5
CA,California,2,11,,,283436,41.8,283610,41.8,3847,0.6,79201,11.7
CO,Colorado,6,,,,113912,42.8,71752,27.0,58386,22.0,16366,6.2
CT,Connecticut,7,,,,74561,39.2,34129,17.9,68324,35.9,10056,5.3
DE,Delaware,3,,,,22631,46.5,8886,18.3,15997,32.9,556,1.1
FL,Florida,6,,,,36417,70.2,4555,8.8,4279,8.2,4806,9.3
GA,Georgia,14,,,,93087,76.6,21985,18.1,5191,4.3,1058,0.9
ID,Idaho,4,,,,33921,32.1,25527,24.1,32810,31.0,11960,11.3
IL,Illinois,29,,,,405048,35.3,386478,33.7,253593,22.1,81278,7.1
IN,Indiana,15,,,,281890,43.1,162007,24.8,151267,23.1,36931,5.6
IA,Iowa,13,,,,185322,37.6,161819,32.9,119805,24.3,16967,3.4
KS,Kansas,10,,,,143663,39.3,120210,32.9,74845,20.5,26779,7.3
KY,Kentucky,13,,,,219585,48.4,102766,22.7,115520,25.5,11647,2.6
LA,Louisiana,10,,,,60871,76.8,9283,11.7,3833,4.8,5261,6.6
ME,Maine,6,,,,51113,39.4,48495,37.4,26545,20.5,2541,2.0
MD,Maryland,8,,,,112674,48.6,57789,24.9,54956,23.7,3996,1.7
MA,Massachusetts,18,,,,173408,35.5,142228,29.1,155948,32.0,12616,2.6
MI,Michigan,,15,,,150201,27.4,213243,38.9,151434,27.6,23060,4.2
MN,Minnesota,,12,,,106426,31.8,125856,37.7,64334,19.2,27505,8.2
MS,Mississippi,10,,,,57324,88.9,3549,5.5,1560,2.4,2050,3.2
MO,Missouri,18,,,,330746,47.3,124375,17.8,207821,29.7,28466,4.1
MT,Montana,4,,,,28129,35.0,22709,28.3,18575,23.1,10811,13.5
NE,Nebraska,8,,,,109008,43.7,72681,29.1,54226,21.7,10185,4.1
NV,Nevada,3,,,,7986,39.7,5620,27.9,3196,15.9,3313,16.5
NH,New Hampshire,4,,,,34724,39.5,17794,20.2,32927,37.4,1981,2.3
NJ,New Jersey,14,,,,178638,41.2,145679,33.6,89066,20.5,15948,3.7
NM,New Mexico,3,,,,20437,41.9,8347,17.1,17164,35.2,2859,5.9
NY,New York,45,,,,655573,41.3,390093,24.6,455487,28.7,63434,4.0
NC,North Carolina,12,,,,144407,59.2,69135,28.4,29129,11.9,987,0.4
ND,North Dakota,5,,,,29549,34.2,25726,29.7,22990,26.6,6966,8.1
OH,Ohio,24,,,,424834,41.0,229807,22.2,278168,26.8,90164,8.7
OK,Oklahoma,10,,,,119143,47.0,0,0.0,90726,35.8,41630,16.4
OR,Oregon,5,,,,47064,34.3,37600,27.4,34673,25.3,13343,9.7
PA,Pennsylvania,,38,,,395637,32.5,444894,36.5,273360,22.4,83614,6.9
RI,Rhode Island,5,,,,30412,39.0,16878,21.7,27703,35.6,2049,2.6
SC,South Carolina,9,,,,48355,95.9,1293,2.6,536,1.1,164,0.3
SD,South Dakota,,5,,,48942,42.1,58811,50.6,0,0.0,4664,4.0
TN,Tennessee,12,,,,133021,52.8,54041,21.5,60475,24.0,3564,1.4
TX,Texas,20,,,,218921,72.7,26715,8.9,28310,9.4,24884,8.3
UT,Utah,,,4,,36576,32.6,24174,21.5,42013,37.4,8999,8.0
VT,Vermont,,,4,,15350,24.4,22129,35.2,23303,37.1,928,1.5
VA,Virginia,12,,,,90332,65.9,21776,15.9,23288,17.0,820,0.6
WA,Washington,,7,,,86840,26.9,113698,35.2,70445,21.8,40134,12.4
WV,West Virginia,8,,,,113097,42.1,79112,29.4,56754,21.1,15248,5.7
WI,Wisconsin,13,,,,164230,41.1,62448,15.6,130596,32.7,33476,8.4
WY,Wyoming,3,,,,15310,36.2,9232,21.8,14560,34.4,2760,6.5
