State Abbreviation,State,Woodrow Wilson Electoral Votes,Charles E. Hughes Electoral Votes,Woodrow Wilson Popular Votes,Woodrow Wilson Percent,Charles E. Hughes Popular Votes,Charles E. Hughes Percent
AL,Alabama,12,,99409,75.6,28809,21.9
AZ,Arizona,3,,33170,57.2,20522,35.4
AR,Arkansas,9,,112186,66.6,47148,28.0
CA,California,13,,465936,46.6,462516,46.3
CO,Colorado,6,,178816,60.5,102308,34.8
CT,Connecticut,,7,99786,46.7,106514,49.8
DE,Delaware,,3,24753,47.8,26011,50.2
FL,Florida,6,,55984,69.3,14611,18.1
GA,Georgia,14,,125845,79.3,11225,7.1
ID,Idaho,4,,70054,52.0,55368,41.1
IL,Illinois,,29,950229,43.3,1152549,52.6
IN,Indiana,,15,334063,46.5,341005,47.4
IA,Iowa,,13,221699,42.7,280439,54.1
KS,Kansas,10,,314588,49.9,277658,44.1
KY,Kentucky,13,,269990,51.9,241854,46.5
LA,Louisiana,10,,79875,85.9,6466,7.0
ME,Maine,,6,64033,47.0,69508,51.0
MD,Maryland,8,,138359,52.8,117347,44.8
MA,Massachusetts,,18,247885,46.6,268784,50.5
MI,Michigan,,15,283993,43.9,337952,52.2
MN,Minnesota,,12,179155,46.2,179544,46.3
MS,Mississippi,10,,80422,92.8,4253,4.9
MO,Missouri,18,,398032,50.6,369339,46.9
MT,Montana,4,,101104,56.8,66933,37.6
NE,Nebraska,8,,158827,55.3,117771,41.0
NV,Nevada,3,,17776,53.4,12127,36.4
NH,New Hampshire,4,,43781,49.1,43725,49.1
NJ,New Jersey,,14,211018,42.7,268982,54.4
NM,New Mexico,3,,33693,50.4,31097,46.5
NY,New York,,45,759426,44.5,879238,51.5
NC,North Carolina,12,,168383,58.1,120890,41.7
ND,North Dakota,5,,55206,47.8,53471,46.3
OH,Ohio,24,,604161,51.9,514753,44.2
OK,Oklahoma,10,,148123,50.7,97233,33.3
OR,Oregon,,5,120087,45.9,126813,48.5
PA,Pennsylvania,,38,521784,40.2,703823,54.3
RI,Rhode Island,,5,40394,46.0,44858,51.1
SC,South Carolina,9,,61845,96.7,1550,2.4
SD,South Dakota,,5,59191,45.9,64217,49.8
TN,Tennessee,12,,153280,56.3,116223,42.7
TX,Texas,20,,286514,76.9,64999,17.5
UT,Utah,4,,84145,58.8,54137,37.8
VT,Vermont,,4,22708,35.2,40250,62.4
VA,Virginia,12,,102825,66.8,49358,32.1
WA,Washington,7,,183388,48.1,167208,43.9
WV,West Virginia,1,7,140403,48.5,143124,49.4
WI,Wisconsin,,13,191363,42.8,220822,49.4
WY,Wyoming,3,,28376,54.7,21698,41.8
