State Abbreviation,State,Warren G. Harding Electoral Votes,James M. Cox Electoral Votes,Warren G. Harding Popular Votes,Warren G. Harding Percent,James M. Cox Popular Votes,James M. Cox Percent
AL,Alabama,,12,74719,31.9,156064,66.7
AZ,Arizona,3,,37016,55.4,29546,44.2
AR,Arkansas,,9,71117,38.7,107409,58.5
CA,California,13,,624992,66.2,229191,24.3
CO,Colorado,6,,173248,59.3,104936,35.9
CT,Connecticut,7,,229238,62.7,120721,33.0
DE,Delaware,3,,52858,55.7,39911,42.1
FL,Florida,,6,44853,30.8,90515,62.1
GA,Georgia,,14,42981,28.7,106112,71.0
ID,Idaho,4,,91351,66.0,46930,33.9
IL,Illinois,29,,1420480,67.8,534395,25.5
IN,Indiana,15,,696370,55.1,511364,40.5
IA,Iowa,13,,634674,70.9,227804,25.5
KS,Kansas,10,,369268,64.8,185464,32.5
KY,Kentucky,,13,452480,49.3,456497,49.7
LA,Louisiana,,10,38539,30.5,87519,69.2
ME,Maine,6,,136355,68.9,58961,29.8
MD,Maryland,8,,236117,55.1,180626,42.2
MA,Massachusetts,18,,681153,68.5,276691,27.8
MI,Michigan,15,,762865,72.8,233450,22.3
MN,Minnesota,12,,519421,70.6,142994,19.4
MS,Mississippi,,10,11576,14.1,69136,84.0
MO,Missouri,18,,727252,54.6,574699,43.1
MT,Montana,4,,109430,61.1,57372,32.1
NE,Nebraska,8,,247498,64.7,119608,31.3
NV,Nevada,3,,15479,56.9,9851,36.2
NH,New Hampshire,4,,95196,59.8,62662,39.4
NJ,New Jersey,14,,615333,67.6,258761,28.4
NM,New Mexico,3,,57634,54.7,46668,44.3
NY,New York,45,,1871167,64.6,781238,27.0
NC,North Carolina,,12,232819,43.2,305367,56.7
ND,North Dakota,5,,160082,77.8,37422,18.2
OH,Ohio,24,,1182022,58.5,780037,38.6
OK,Oklahoma,10,,243840,50.2,216122,44.5
OR,Oregon,5,,143592,60.2,80019,33.5
PA,Pennsylvania,38,,1218215,65.8,503202,27.2
RI,Rhode Island,5,,107463,64.0,55062,32.8
SC,South Carolina,,9,2610,3.9,64170,96.1
SD,South Dakota,5,,110692,60.7,35938,19.7
TN,Tennessee,12,,219229,51.2,206558,48.3
TX,Texas,,20,114658,23.6,287920,59.2
UT,Utah,4,,81555,55.9,56639,38.8
VT,Vermont,4,,68212,75.8,20919,23.3
VA,Virginia,,12,87456,37.9,141670,61.3
WA,Washington,7,,223137,56.0,84298,21.1
WV,West Virginia,8,,282007,55.3,220785,43.3
WI,Wisconsin,13,,498576,71.1,113422,16.2
WY,Wyoming,3,,35091,62.4,17429,31.0
