State Abbreviation,State,Calvin Coolidge Electoral Votes,John W. Davis Electoral Votes,Robert LaFollette Electoral Votes,Calvin Coolidge Popular Votes,Calvin Coolidge Percent,John W. Davis Popular Votes,John W. Davis Percent,Robert LaFollette Popular Votes,Robert LaFollette Percent
AL,Alabama,,12,,45005,27.0,112966,67.8,8084,4.9
AZ,Arizona,3,,,30516,41.3,26235,35.5,17210,23.3
AR,Arkansas,,9,,40583,29.3,84790,61.2,13167,9.5
CA,California,13,,,733250,57.2,105514,8.2,424649,33.1
CO,Colorado,6,,,195171,57.0,75238,22.0,69945,20.4
CT,Connecticut,7,,,246322,61.5,110184,27.5,42416,10.6
DE,Delaware,3,,,52441,57.7,33445,36.8,4979,5.5
FL,Florida,,6,,30633,28.1,62083,56.9,8625,7.9
GA,Georgia,,14,,30300,18.2,123262,74.0,12687,7.6
ID,Idaho,4,,,69791,47.3,23951,16.2,53948,36.5
IL,Illinois,29,,,1453321,58.8,576975,23.4,432027,17.5
IN,Indiana,15,,,703042,55.3,492245,38.7,71700,5.6
IA,Iowa,13,,,537458,55.0,160382,16.4,274448,28.1
KS,Kansas,10,,,407671,61.5,156320,23.6,98461,14.9
KY,Kentucky,13,,,398966,48.9,375593,46.0,38465,4.7
LA,Louisiana,,10,,24670,20.2,93218,76.4,0,0
ME,Maine,6,,,138440,72.0,41964,21.8,11382,5.9
MD,Maryland,8,,,162414,45.3,148072,41.3,47157,13.1
MA,Massachusetts,18,,,703476,62.3,280831,24.9,141225,12.5
MI,Michigan,15,,,874631,75.4,152359,13.1,122014,10.5
MN,Minnesota,12,,,420759,51.2,55913,6.8,339192,41.3
MS,Mississippi,,10,,8494,7.6,100474,89.4,3474,3.1
MO,Missouri,18,,,648488,49.5,574962,43.9,83986,6.4
MT,Montana,4,,,74138,42.5,33805,19.4,65876,37.9
NE,Nebraska,8,,,218985,47.2,137299,29.6,105681,22.8
NV,Nevada,3,,,11243,41.8,5909,21.9,9769,36.3
NH,New Hampshire,4,,,98575,59.8,57201,34.7,8993,5.5
NJ,New Jersey,14,,,676277,62.2,298043,27.4,109028,10.0
NM,New Mexico,3,,,54745,48.5,48542,43.0,9543,8.5
NY,New York,45,,,1820058,55.8,950796,29.1,474913,14.6
NC,North Carolina,,12,,190754,39.6,284190,59.0,6651,1.4
ND,North Dakota,5,,,94931,47.7,13858,7.0,89922,45.2
OH,Ohio,24,,,1176130,58.3,477887,23.7,358008,17.8
OK,Oklahoma,,10,,225755,42.8,255798,48.4,41141,7.8
OR,Oregon,5,,,142579,51.0,67589,24.2,68403,24.5
PA,Pennsylvania,38,,,1401481,65.3,409192,19.1,307567,14.3
RI,Rhode Island,5,,,125286,59.6,76606,36.5,7628,3.6
SC,South Carolina,,9,,1123,2.2,49008,96.6,623,1.2
SD,South Dakota,5,,,101299,49.7,27214,13.3,75355,37.0
TN,Tennessee,,12,,130831,43.5,159339,52.9,10666,3.5
TX,Texas,,20,,130794,19.9,483381,73.6,42879,6.5
UT,Utah,4,,,77327,49.3,47001,29.9,32662,20.8
VT,Vermont,4,,,80498,78.2,16124,15.7,5964,5.8
VA,Virginia,,12,,73328,32.8,139717,62.5,10369,4.6
WA,Washington,7,,,220224,52.2,42842,10.2,150727,35.8
WV,West Virginia,8,,,288635,49.5,257232,44.1,36723,6.3
WI,Wisconsin,,,13,311614,37.1,68115,8.1,453678,54.0
WY,Wyoming,3,,,41858,52.4,12868,16.1,25174,31.5
