State Abbreviation,State,Herbert Hoover Electoral Votes,Alfred E. Smith Electoral Votes,Herbert Hoover Popular Votes,Herbert Hoover Percent,Alfred E. Smith Popular Votes,Alfred E. Smith Percent
AL,Alabama,,12,120725,48.5,127796,51.3
AZ,Arizona,3,,52533,57.6,38537,42.2
AR,Arkansas,,9,77784,39.3,119196,60.3
CA,California,13,,1162323,64.7,614365,34.2
CO,Colorado,6,,253872,64.7,133131,33.9
CT,Connecticut,7,,296641,53.6,252085,45.6
DE,Delaware,3,,68860,65.8,35354,33.8
FL,Florida,6,,144168,56.8,101764,40.1
GA,Georgia,,14,101800,44.0,129604,56.0
ID,Idaho,4,,99848,64.7,53074,34.4
IL,Illinois,29,,1769141,56.9,1313817,42.3
IN,Indiana,15,,848290,59.7,562691,39.6
IA,Iowa,13,,623570,61.8,379011,37.6
KS,Kansas,10,,513672,72.0,193003,27.1
KY,Kentucky,13,,558064,59.3,381070,40.5
LA,Louisiana,,10,51160,23.7,164655,76.3
ME,Maine,6,,179923,68.6,81179,31.0
MD,Maryland,8,,301479,57.1,223626,42.3
MA,Massachusetts,,18,775566,49.2,792758,50.2
MI,Michigan,15,,965396,70.4,396762,28.9
MN,Minnesota,12,,560977,57.8,396451,40.8
MS,Mississippi,,10,27030,17.8,124538,82.2
MO,Missouri,18,,834080,55.6,662684,44.2
MT,Montana,4,,113300,58.4,78578,40.5
NE,Nebraska,8,,345745,63.2,197950,36.2
NV,Nevada,3,,18327,56.5,14090,43.5
NH,New Hampshire,4,,115404,58.7,80715,41.0
NJ,New Jersey,14,,926050,59.8,616517,39.8
NM,New Mexico,3,,69708,59.0,48211,40.8
NY,New York,45,,2193344,49.8,2089863,47.4
NC,North Carolina,12,,348923,54.9,286227,45.1
ND,North Dakota,5,,131419,54.8,106648,44.5
OH,Ohio,24,,1627546,64.9,864210,34.5
OK,Oklahoma,10,,394046,63.7,219174,35.4
OR,Oregon,5,,205341,64.2,109223,34.1
PA,Pennsylvania,38,,2055382,65.2,1067586,33.9
RI,Rhode Island,,5,117522,49.5,118973,50.2
SC,South Carolina,,9,5858,8.5,62700,91.4
SD,South Dakota,5,,157603,60.2,102660,39.2
TN,Tennessee,12,,195388,55.3,157143,44.5
TX,Texas,20,,367036,51.8,341032,48.1
UT,Utah,4,,94618,53.6,80985,45.9
VT,Vermont,4,,90404,66.9,44440,32.9
VA,Virginia,12,,164609,53.9,140146,45.9
WA,Washington,7,,335844,67.1,156772,31.3
WV,West Virginia,8,,375551,58.4,263784,41.0
WI,Wisconsin,13,,544205,53.5,450259,44.3
WY,Wyoming,3,,52748,63.7,29299,35.4
