State Abbreviation,State,Franklin D. Roosevelt Electoral Votes,Herbert C. Hoover Electoral Votes,Franklin D. Roosevelt Popular Votes,Franklin D. Roosevelt Percent,Herbert C. Hoover Popular Votes,Herbert C. Hoover Percent
AL,Alabama,11,,207910,84.8,34675,14.1
AZ,Arizona,3,,79264,67.0,36104,30.5
AR,Arkansas,9,,186829,86.3,27465,12.7
CA,California,22,,1324157,58.4,847902,37.4
CO,Colorado,6,,250877,54.8,189617,41.4
CT,Connecticut,,8,281632,47.4,288420,48.5
DE,Delaware,,3,54319,48.1,57073,50.6
FL,Florida,7,,206307,74.5,69170,25.0
GA,Georgia,12,,234118,91.6,19863,7.8
ID,Idaho,4,,109479,58.7,71312,38.2
IL,Illinois,29,,1882304,55.2,1432756,42.0
IN,Indiana,14,,862054,54.7,677184,42.9
IA,Iowa,11,,598019,57.7,414433,40.0
KS,Kansas,9,,424204,53.6,349498,44.1
KY,Kentucky,11,,580574,59.1,394716,40.2
LA,Louisiana,10,,249418,92.8,18853,7.0
ME,Maine,,5,128907,43.2,166631,55.8
MD,Maryland,8,,314314,61.5,184184,36.0
MA,Massachusetts,17,,800148,50.6,736959,46.6
MI,Michigan,19,,871700,52.4,739894,44.4
MN,Minnesota,11,,600806,59.9,363959,36.3
MS,Mississippi,9,,140168,96.0,5180,3.5
MO,Missouri,15,,1025406,63.7,564713,35.1
MT,Montana,4,,127286,58.8,78078,36.1
NE,Nebraska,7,,359082,63.0,201177,35.3
NV,Nevada,3,,28756,69.4,12674,30.6
NH,New Hampshire,,4,100680,49.0,103629,50.4
NJ,New Jersey,16,,806630,49.5,775684,47.6
NM,New Mexico,3,,95089,62.7,54217,35.8
NY,New York,47,,2534959,54.1,1937963,41.3
NC,North Carolina,13,,497566,69.9,208344,29.3
ND,North Dakota,4,,178350,69.6,71772,28.0
OH,Ohio,26,,1301695,49.9,1227319,47.0
OK,Oklahoma,11,,516468,73.3,188165,26.7
OR,Oregon,5,,213871,58.0,136019,36.9
PA,Pennsylvania,,36,1295948,45.3,1453540,50.8
RI,Rhode Island,4,,146604,55.1,115266,43.3
SC,South Carolina,8,,102347,98.0,1978,1.9
SD,South Dakota,4,,183515,63.6,99212,34.4
TN,Tennessee,11,,259473,66.5,126752,32.5
TX,Texas,23,,760348,88.1,97959,11.3
UT,Utah,4,,116750,56.5,84795,41.0
VT,Vermont,,3,56266,41.1,78984,57.7
VA,Virginia,11,,203979,68.5,89637,30.1
WA,Washington,8,,353260,57.5,208645,33.9
WV,West Virginia,8,,405124,54.5,330731,44.5
WI,Wisconsin,12,,707410,63.5,347741,31.2
WY,Wyoming,3,,54370,56.1,39583,40.8
