State Abbreviation,State,Franklin D. Roosevelt Electoral Votes,Alfred M. Landon Electoral Votes,Franklin D. Roosevelt Popular Votes,Franklin D. Roosevelt Percent,Alfred M. Landon Popular Votes,Alfred M. Landon Percent
AL,Alabama,11,,238196,86.4,35358,12.8
AZ,Arizona,3,,86722,69.8,33433,26.9
AR,Arkansas,9,,146765,81.8,32049,17.9
CA,California,22,,1766836,67.0,836431,31.7
CO,Colorado,6,,295021,60.4,181267,37.1
CT,Connecticut,8,,382129,55.3,278685,40.3
DE,Delaware,3,,69702,54.6,54014,42.3
FL,Florida,7,,249117,76.1,78248,23.9
GA,Georgia,12,,255363,87.1,36943,12.6
ID,Idaho,4,,125683,63.0,66256,33.2
IL,Illinois,29,,2282999,57.7,1570393,39.7
IN,Indiana,14,,934974,56.6,691570,41.9
IA,Iowa,11,,621756,54.4,487977,42.7
KS,Kansas,9,,464520,53.7,397727,46.0
KY,Kentucky,11,,541944,58.5,369702,39.9
LA,Louisiana,10,,292894,88.8,36791,11.2
ME,Maine,,5,126333,41.5,168823,55.5
MD,Maryland,8,,389612,62.3,231435,37.0
MA,Massachusetts,17,,942716,51.2,768613,41.8
MI,Michigan,19,,1016794,56.3,699733,38.8
MN,Minnesota,11,,698811,61.8,350461,31.0
MS,Mississippi,9,,157333,97.0,4467,2.8
MO,Missouri,15,,1111043,60.8,697891,38.2
MT,Montana,4,,159690,69.3,63598,27.6
NE,Nebraska,7,,347445,57.1,247731,40.7
NV,Nevada,3,,31925,72.8,11923,27.2
NH,New Hampshire,4,,108460,49.7,104642,48.0
NJ,New Jersey,16,,1083850,59.5,720322,39.6
NM,New Mexico,3,,106037,62.7,61727,36.5
NY,New York,47,,3293222,58.8,2180670,39.0
NC,North Carolina,13,,616141,73.4,223294,26.6
ND,North Dakota,4,,163148,59.6,72751,26.6
OH,Ohio,26,,1747140,58.0,1127855,37.4
OK,Oklahoma,11,,501069,66.8,245122,32.7
OR,Oregon,5,,266733,64.4,122706,29.6
PA,Pennsylvania,36,,2353788,56.9,1690300,40.8
RI,Rhode Island,4,,164338,53.0,125031,40.3
SC,South Carolina,8,,113791,98.6,1646,1.4
SD,South Dakota,4,,160137,54.0,125977,42.5
TN,Tennessee,11,,327083,68.8,146516,30.8
TX,Texas,23,,734485,87.1,103874,12.3
UT,Utah,4,,150248,69.3,64555,29.8
VT,Vermont,,3,62124,43.2,81023,56.4
VA,Virginia,11,,234980,70.2,98336,29.4
WA,Washington,8,,459579,66.4,206892,29.9
WV,West Virginia,8,,502582,60.6,325358,39.2
WI,Wisconsin,12,,802984,63.8,380828,30.3
WY,Wyoming,3,,62624,60.6,38739,37.5
