State Abbreviation,State,Franklin D. Roosevelt Electoral Votes,Wendell L. Willkie Electoral Votes,Franklin D. Roosevelt Popular Votes,Franklin D. Roosevelt Percent,Wendell L. Willkie Popular Votes,Wendell L. Willkie Percent
AL,Alabama,11,,250726,85.2,42184,14.3
AZ,Arizona,3,,95267,63.5,54030,36.0
AR,Arkansas,9,,157213,78.4,42122,21.0
CA,California,22,,1877618,57.4,1351419,41.3
CO,Colorado,,6,265554,48.4,279576,50.9
CT,Connecticut,8,,417621,53.4,361819,46.3
DE,Delaware,3,,74599,54.7,61440,45.1
FL,Florida,7,,359334,74.0,126158,26.0
GA,Georgia,12,,265194,84.8,46495,14.9
ID,Idaho,4,,127842,54.4,106553,45.3
IL,Illinois,29,,2149934,51.0,2047240,48.5
IN,Indiana,,14,874063,49.0,899466,50.5
IA,Iowa,,11,578802,47.6,632370,52.0
KS,Kansas,,9,364725,42.4,489169,56.9
KY,Kentucky,11,,557322,57.4,410384,42.3
LA,Louisiana,10,,319751,85.9,52446,14.1
ME,Maine,,5,156478,48.8,163951,51.1
MD,Maryland,8,,384546,58.3,269534,40.8
MA,Massachusetts,17,,1076522,53.1,939700,46.4
MI,Michigan,,19,1032991,49.5,1039917,49.9
MN,Minnesota,11,,644196,51.5,596274,47.7
MS,Mississippi,9,,168267,95.7,7364,4.2
MO,Missouri,15,,958476,52.3,871009,47.5
MT,Montana,4,,145698,58.8,99579,40.2
NE,Nebraska,,7,263677,42.8,352201,57.2
NV,Nevada,3,,31945,60.1,21229,39.9
NH,New Hampshire,4,,125292,53.2,110127,46.8
NJ,New Jersey,16,,1016808,51.5,945475,47.9
NM,New Mexico,3,,103699,56.6,79315,43.3
NY,New York,47,,3251918,51.6,3027478,48.0
NC,North Carolina,13,,609015,74.0,213633,26.0
ND,North Dakota,,4,124036,44.2,154590,55.1
OH,Ohio,26,,1733139,52.2,1586773,47.8
OK,Oklahoma,11,,474313,57.4,348872,42.2
OR,Oregon,5,,258415,53.7,219555,45.6
PA,Pennsylvania,36,,2171035,53.2,1889848,46.3
RI,Rhode Island,4,,182181,56.7,138654,43.2
SC,South Carolina,8,,95470,95.6,4360,4.4
SD,South Dakota,,4,131362,42.6,177065,57.4
TN,Tennessee,11,,351601,67.3,169153,32.4
TX,Texas,23,,840151,80.7,199152,19.1
UT,Utah,4,,154277,62.3,93151,37.6
VT,Vermont,,3,64269,44.9,78371,54.8
VA,Virginia,11,,235961,68.1,109363,31.6
WA,Washington,8,,462145,58.2,322123,40.6
WV,West Virginia,8,,495662,57.1,372414,42.9
WI,Wisconsin,12,,704821,50.1,679206,48.3
WY,Wyoming,3,,59287,52.8,52633,46.9
,Totals,449,82,27243218,54.7,22334940,44.8
