State Abbreviation,State,Harry S. Truman Electoral Votes,Thomas E. Dewey Electoral Votes,Harry S. Truman Popular Votes,Harry S. Truman Percent,Thomas E. Dewey Popular Votes,Thomas E. Dewey Percent
AL,Alabama,11,,198918,81.3,44540,18.2
AZ,Arizona,4,,80926,58.8,56287,40.9
AR,Arkansas,9,,148965,70.0,63551,29.8
CA,California,25,,1988564,56.5,1512965,43.0
CO,Colorado,,6,234331,46.4,268731,53.2
CT,Connecticut,8,,435146,52.3,390527,46.9
DE,Delaware,3,,68166,54.4,56747,45.3
FL,Florida,8,,339377,70.3,143215,29.7
GA,Georgia,12,,268187,81.7,56506,17.2
ID,Idaho,4,,107399,51.6,100137,48.1
IL,Illinois,28,,2079479,51.5,1939314,48.0
IN,Indiana,,13,781403,46.7,875891,52.4
IA,Iowa,,10,499876,47.5,547267,52.0
KS,Kansas,,8,287458,39.2,442096,60.2
KY,Kentucky,11,,472589,54.5,392448,45.2
LA,Louisiana,10,,281564,80.6,67750,19.4
ME,Maine,,5,140631,47.4,155434,52.4
MD,Maryland,8,,315490,51.9,292949,48.1
MA,Massachusetts,16,,1035296,52.8,921350,47.0
MI,Michigan,19,,1106899,50.2,1084423,49.2
MN,Minnesota,11,,589864,52.4,527416,46.9
MS,Mississippi,9,,168621,93.6,11613,6.4
MO,Missouri,15,,807356,51.4,761175,48.4
MT,Montana,4,,112556,54.3,93163,44.9
NE,Nebraska,,6,233246,41.4,329880,58.6
NV,Nevada,3,,29623,54.6,24611,45.4
NH,New Hampshire,4,,119663,52.1,109916,47.9
NJ,New Jersey,16,,987874,50.3,961335,49.0
NM,New Mexico,4,,81389,53.5,70688,46.4
NY,New York,47,,3304238,52.3,2987647,47.3
NC,North Carolina,14,,527399,66.7,263155,33.3
ND,North Dakota,,4,100144,45.5,118535,53.8
OH,Ohio,,25,1570763,49.8,1582293,50.2
OK,Oklahoma,10,,401549,55.6,319424,44.2
OR,Oregon,6,,248635,51.8,225365,46.9
PA,Pennsylvania,35,,1940479,51.1,1835054,48.4
RI,Rhode Island,4,,175356,58.6,123487,41.3
SC,South Carolina,8,,90601,87.6,4554,4.4
SD,South Dakota,,4,96711,41.7,135365,58.3
TN,Tennessee,12,,308707,60.4,200311,39.2
TX,Texas,23,,821605,71.4,191423,16.6
UT,Utah,4,,150088,60.4,97891,39.4
VT,Vermont,,3,53820,42.9,71527,57.1
VA,Virginia,11,,242276,62.4,145243,37.4
WA,Washington,8,,486774,56.8,361689,42.2
WV,West Virginia,8,,392777,54.9,322819,45.1
WI,Wisconsin,,12,650413,48.6,674532,50.4
WY,Wyoming,,3,49419,48.8,51921,51.2
