State Abbreviation,State,Harry S. Truman Electoral Votes,Thomas E. Dewey Electoral Votes,Strom Thurmond Electoral Votes,Harry S. Truman Popular Votes,Harry S. Truman Percent,Thomas E. Dewey Popular Votes,Thomas E. Dewey Percent,Strom Thurmond Popular Votes,Strom Thurmond Percent
AL,Alabama,,,11,0,0.0,40930,19.0,171443,79.7
AZ,Arizona,4,,,95251,53.8,77597,43.8,0,0.0
AR,Arkansas,9,,,149659,61.7,50959,21.0,40068,16.5
CA,California,25,,,1913134,47.6,1895269,47.1,1228,0.0
CO,Colorado,6,,,267288,51.9,239714,46.5,0,0.0
CT,Connecticut,,8,,423297,47.9,437754,49.5,0,0.0
DE,Delaware,,3,,67813,48.8,69588,50.0,0,0.0
FL,Florida,8,,,281988,48.8,194280,33.6,89755,15.5
GA,Georgia,12,,,254646,60.8,76691,18.3,85135,20.3
ID,Idaho,4,,,107370,50.0,101514,47.3,0,0.0
IL,Illinois,28,,,1994715,50.1,1961103,49.2,0,0.0
IN,Indiana,,13,,807831,48.8,821079,49.6,0,0.0
IA,Iowa,10,,,522380,50.3,494018,47.6,0,0.0
KS,Kansas,,8,,351902,44.6,423039,53.6,0,0.0
KY,Kentucky,11,,,466756,56.7,341210,41.5,10411,1.3
LA,Louisiana,,,10,136344,32.7,72657,17.5,204290,49.1
ME,Maine,,5,,111916,42.3,150234,56.7,0,0.0
MD,Maryland,,8,,286521,48.0,294814,49.4,2489,0.4
MA,Massachusetts,16,,,1151788,54.7,909370,43.2,0,0.0
MI,Michigan,,19,,1003448,47.6,1038595,49.2,0,0.0
MN,Minnesota,11,,,692966,57.2,483617,39.9,0,0.0
MS,Mississippi,,,9,19384,10.1,5043,2.6,167538,87.2
MO,Missouri,15,,,917315,58.1,655039,41.5,0,0.0
MT,Montana,4,,,119071,53.1,96770,43.1,0,0.0
NE,Nebraska,,6,,224165,45.8,264774,54.2,0,0.0
NV,Nevada,3,,,31291,50.4,29357,47.3,0,0.0
NH,New Hampshire,,4,,107995,46.7,121299,52.4,7,0.0
NJ,New Jersey,,16,,895455,45.9,981124,50.3,0,0.0
NM,New Mexico,4,,,105464,56.4,80303,42.9,0,0.0
NY,New York,,47,,2780204,45.0,2841163,46.0,0,0.0
NC,North Carolina,14,,,459070,58.0,258572,32.7,69652,8.8
ND,North Dakota,,4,,95812,43.4,115139,52.2,374,0.2
OH,Ohio,25,,,1452791,49.5,1445684,49.2,0,0.0
OK,Oklahoma,10,,,452782,62.7,268817,37.3,0,0.0
OR,Oregon,,6,,243147,46.4,260904,49.8,0,0.0
PA,Pennsylvania,,35,,1752426,46.9,1902197,50.9,0,0.0
RI,Rhode Island,4,,,188736,57.6,135787,41.4,0,0.0
SC,South Carolina,,,8,34423,24.1,5386,3.8,102607,72.0
SD,South Dakota,,4,,117653,47.0,129651,51.8,0,0.0
TN,Tennessee,11,,1,270402,49.1,202914,36.9,73815,13.4
TX,Texas,23,,,750700,65.4,282240,24.6,106909,9.3
UT,Utah,4,,,149151,54.0,124402,45.0,0,0.0
VT,Vermont,,3,,45557,36.9,75926,61.5,0,0.0
VA,Virginia,11,,,200786,47.9,172070,41.0,43393,10.4
WA,Washington,8,,,476165,52.6,386314,42.7,0,0.0
WV,West Virginia,8,,,429188,57.3,316251,42.2,0,0.0
WI,Wisconsin,12,,,647310,50.7,590959,46.3,0,0.0
WY,Wyoming,3,,,52354,51.6,47947,47.3,0,0.0
