State Abbreviation,State,Dwight D. Eisenhower Electoral Votes,Adlai E. Stevenson Electoral Votes,Dwight D. Eisenhower Popular Votes,Dwight D. Eisenhower Percent,Adlai E. Stevenson Popular Votes,Adlai E. Stevenson Percent
AL,Alabama,,11,149231,35.0,275075,64.6
AZ,Arizona,4,,152042,58.3,108528,41.7
AR,Arkansas,,8,177155,43.8,226300,55.9
CA,California,32,,2897310,56.3,2197548,42.7
CO,Colorado,6,,379782,60.3,245504,39.0
CT,Connecticut,8,,611012,55.7,481649,43.9
DE,Delaware,3,,90059,51.8,83315,47.9
FL,Florida,10,,544036,55.0,444950,45.0
GA,Georgia,,12,198961,30.3,456823,69.7
ID,Idaho,4,,180707,65.4,95081,34.4
IL,Illinois,27,,2457327,54.8,2013920,44.9
IN,Indiana,13,,1136259,58.1,801530,41.0
IA,Iowa,10,,808906,63.8,451513,35.6
KS,Kansas,8,,616302,68.8,273296,30.5
KY,Kentucky,,10,495029,49.8,495729,49.9
LA,Louisiana,,10,306925,47.1,345027,52.9
ME,Maine,5,,232353,66.0,118806,33.8
MD,Maryland,9,,499424,55.4,395337,43.8
MA,Massachusetts,16,,1292325,54.2,1083525,45.5
MI,Michigan,20,,1551529,55.4,1230657,44.0
MN,Minnesota,11,,763211,55.3,608458,44.1
MS,Mississippi,,8,112966,39.6,172566,60.4
MO,Missouri,13,,959429,50.7,929830,49.1
MT,Montana,4,,157394,59.4,106213,40.1
NE,Nebraska,6,,421603,69.2,188057,30.8
NV,Nevada,3,,50502,61.4,31688,38.6
NH,New Hampshire,4,,166287,60.9,106663,39.1
NJ,New Jersey,16,,1373613,56.8,1015902,42.0
NM,New Mexico,4,,132170,55.4,105661,44.3
NY,New York,45,,3952813,55.5,3104601,43.6
NC,North Carolina,,14,558107,46.1,652803,53.9
ND,North Dakota,4,,191712,71.0,76694,28.4
OH,Ohio,25,,2100391,56.8,1600367,43.2
OK,Oklahoma,8,,518045,54.6,430939,45.4
OR,Oregon,6,,420815,60.5,270579,38.9
PA,Pennsylvania,32,,2415789,52.7,2146269,46.9
RI,Rhode Island,4,,210935,50.9,203293,49.0
SC,South Carolina,,8,9793,2.9,173004,50.7
SD,South Dakota,4,,203857,69.3,90426,30.7
TN,Tennessee,11,,446147,50.0,443710,49.7
TX,Texas,24,,1102878,53.1,969228,46.7
UT,Utah,4,,194190,58.9,135364,41.1
VT,Vermont,3,,109717,71.5,43355,28.2
VA,Virginia,12,,349037,56.3,268677,43.4
WA,Washington,9,,599107,54.3,492845,44.7
WV,West Virginia,,8,419970,48.1,453578,51.9
WI,Wisconsin,12,,979744,61.0,622175,38.7
WY,Wyoming,3,,81049,62.7,47934,37.1
