State Abbreviation,State,Dwight D. Eisenhower Electoral Votes,Adlai Stevenson Electoral Votes,Dwight D. Eisenhower Popular Votes,Dwight D. Eisenhower Percent,Adlai Stevenson Popular Votes,Adlai Stevenson Percent
AL,Alabama*,,10,195694,39.4,280844,56.5
AZ,Arizona,4,,176990,61.0,112880,38.9
AR,Arkansas,,8,186287,45.8,213277,52.5
CA,California,32,,3027668,55.4,2420135,44.3
CO,Colorado,6,,394479,60.0,257997,39.3
CT,Connecticut,8,,711837,63.7,405079,36.3
DE,Delaware,3,,98057,55.1,79421,44.6
FL,Florida,10,,643849,57.2,480371,42.7
GA,Georgia,,12,222778,33.3,444688,66.4
ID,Idaho,4,,166979,61.2,105868,38.8
IL,Illinois,27,,2623327,59.5,1775682,40.3
IN,Indiana,13,,1182811,59.9,783908,39.7
IA,Iowa,10,,729187,59.1,501858,40.7
KS,Kansas,8,,566878,65.4,296317,34.2
KY,Kentucky,10,,572192,54.3,476453,45.2
LA,Louisiana,10,,329047,53.3,243977,39.5
ME,Maine,5,,249238,70.9,102468,29.1
MD,Maryland,9,,559738,60.0,372613,39.9
MA,Massachusetts,16,,1393197,59.3,948190,40.4
MI,Michigan,20,,1713647,55.6,1359898,44.1
MN,Minnesota,11,,719302,53.7,617525,46.1
MS,Mississippi,,8,60685,24.5,144453,58.2
MO,Missouri,,13,914289,49.9,918273,50.1
MT,Montana,4,,154933,57.1,116238,42.9
NE,Nebraska,6,,378108,65.5,199029,34.5
NV,Nevada,3,,56049,58.0,40640,42.0
NH,New Hampshire,4,,176519,66.1,90364,33.8
NJ,New Jersey,16,,1606942,64.7,850337,34.2
NM,New Mexico,4,,146788,57.8,106098,41.8
NY,New York,45,,4345506,61.2,2747944,38.7
NC,North Carolina,,14,575062,49.3,590530,50.7
ND,North Dakota,4,,156766,61.7,96742,38.1
OH,Ohio,25,,2262610,61.1,1439655,38.9
OK,Oklahoma,8,,473769,55.1,385581,44.9
OR,Oregon,6,,406393,55.2,329204,44.7
PA,Pennsylvania,32,,2585252,56.5,1981769,43.3
RI,Rhode Island,4,,225819,58.3,161790,41.7
SC,South Carolina,,8,75700,25.2,136372,45.4
SD,South Dakota,4,,171569,58.4,122288,41.6
TN,Tennessee,11,,462288,49.2,456507,48.6
TX,Texas,24,,1080619,55.3,859958,44.0
UT,Utah,4,,215631,64.6,118364,35.4
VT,Vermont,3,,110390,72.2,42549,27.8
VA,Virginia,12,,386459,55.4,267760,38.4
WA,Washington,9,,620430,53.9,523002,45.4
WV,West Virginia,8,,449297,54.1,381534,45.9
WI,Wisconsin,12,,954844,61.6,586768,37.8
WY,Wyoming,3,,74573,60.1,49554,39.9
