State Abbreviation,State,John F. Kennedy Electoral Votes,Richard M. Nixon Electoral Votes,John F. Kennedy Popular Votes,John F. Kennedy Percent,Richard M. Nixon Popular Votes,Richard M. Nixon Percent
AL,Alabama*,5,,324050,56.8,237981,41.7
AK,Alaska,,3,29809,49.1,30953,50.9
AZ,Arizona,,4,176781,44.4,221241,55.5
AR,Arkansas,8,,215049,50.2,184508,43.1
CA,California,,32,3224099,49.6,3259722,50.1
CO,Colorado,,6,330629,44.9,402242,54.6
CT,Connecticut,8,,657055,53.7,565813,46.3
DE,Delaware,3,,99590,50.6,96373,49.0
FL,Florida,,10,748700,48.5,795476,51.5
GA,Georgia,12,,458638,62.5,274472,37.4
HI,Hawaii,3,,92410,50.0,92295,50.0
ID,Idaho,,4,138853,46.2,161597,53.8
IL,Illinois,27,,2377846,50.0,2368988,49.8
IN,Indiana,,13,952358,44.6,1175120,55.0
IA,Iowa,,10,550565,43.2,722381,56.7
KS,Kansas,,8,363213,39.1,561474,60.4
KY,Kentucky,,10,521855,46.4,602607,53.6
LA,Louisiana,10,,407339,50.4,230980,28.6
ME,Maine,,5,181159,43.0,240608,57.0
MD,Maryland,9,,565808,53.6,489538,46.4
MA,Massachusetts,16,,1487174,60.2,976750,39.6
MI,Michigan,20,,1687269,50.9,1620428,48.8
MN,Minnesota,11,,779933,50.6,757915,49.2
MS,Mississippi*,*,*,108362,36.3,73561,24.7
MO,Missouri,13,,972201,50.3,962221,49.7
MT,Montana,,4,134891,48.6,141841,51.1
NE,Nebraska,,6,232542,37.9,380553,62.1
NV,Nevada,3,,54880,51.2,52387,48.8
NH,New Hampshire,,4,137772,46.6,157989,53.4
NJ,New Jersey,16,,1385415,50.0,1363324,49.2
NM,New Mexico,4,,156027,50.2,153733,49.4
NY,New York,45,,3830085,52.5,3446419,47.3
NC,North Carolina,14,,713136,52.1,655420,47.9
ND,North Dakota,,4,123963,44.5,154310,55.4
OH,Ohio,,25,1944248,46.7,2217611,53.3
OK,Oklahoma*,,7,370111,41.0,533039,59.0
OR,Oregon,,6,367402,47.3,408060,52.6
PA,Pennsylvania,32,,2556282,51.1,2439956,48.7
RI,Rhode Island,4,,258032,63.6,147502,36.4
SC,South Carolina,8,,198129,51.2,188558,48.8
SD,South Dakota,,4,128070,41.8,178417,58.2
TN,Tennessee,,11,481453,45.8,556577,52.9
TX,Texas,24,,1167567,50.5,1121310,48.5
UT,Utah,,4,169248,45.2,205361,54.8
VT,Vermont,,3,69186,41.3,98131,58.6
VA,Virginia,,12,362327,47.0,404521,52.4
WA,Washington,,9,599298,48.3,629273,50.7
WV,West Virginia,8,,441786,52.7,395995,47.3
WI,Wisconsin,,12,830805,48.0,895175,51.8
WY,Wyoming,,3,63331,45.0,77451,55.0
