State Abbreviation,State,Lyndon B. Johnson Electoral Votes,Barry M. Goldwater Electoral Votes,Lyndon B. Johnson Popular Votes,Lyndon B. Johnson Percent,Barry M. Goldwater Popular Votes,Barry M. Goldwater Percent
AL,Alabama,,10,0,0.0,479085,69.5
AK,Alaska,3,,44329,65.9,22930,34.1
AZ,Arizona,,5,237753,49.5,242535,50.4
AR,Arkansas,6,,314197,56.1,243264,43.4
CA,California,40,,4171877,59.1,2879108,40.8
CO,Colorado,6,,476024,61.3,296767,38.2
CT,Connecticut,8,,826269,67.8,390996,32.1
DE,Delaware,3,,122704,60.9,78078,38.8
DC,Dist. of Col.,3,,169796,85.5,28801,14.5
FL,Florida,14,,948540,51.1,905941,48.9
GA,Georgia,,12,522556,45.9,616584,54.1
HI,Hawaii,4,,163249,78.8,44022,21.2
ID,Idaho,4,,148920,50.9,143557,49.1
IL,Illinois,26,,2796833,59.5,1905946,40.5
IN,Indiana,13,,1170848,56.0,911118,43.6
IA,Iowa,9,,733030,61.9,449148,37.9
KS,Kansas,7,,464028,54.1,386579,45.1
KY,Kentucky,9,,669659,64.0,372977,35.7
LA,Louisiana,,10,387068,43.2,509225,56.8
ME,Maine,4,,262264,68.8,118701,31.2
MD,Maryland,10,,730912,65.5,385495,34.5
MA,Massachusetts,14,,1786422,76.2,549727,23.4
MI,Michigan,21,,2136615,66.7,1060152,33.1
MN,Minnesota,10,,991117,63.8,559624,36.0
MS,Mississippi,,7,52618,12.9,356528,87.1
MO,Missouri,12,,1164344,64.0,653535,36.0
MT,Montana,4,,164246,58.9,113032,40.6
NE,Nebraska,5,,307307,52.6,276847,47.4
NV,Nevada,3,,79339,58.6,56094,41.4
NH,New Hampshire,4,,184064,63.9,104029,36.1
NJ,New Jersey,17,,1868231,65.6,964174,33.9
NM,New Mexico,4,,194015,59.0,132838,40.4
NY,New York,43,,4913102,68.6,2243559,31.3
NC,North Carolina,13,,800139,56.2,624844,43.8
ND,North Dakota,4,,149784,58.0,108207,41.9
OH,Ohio,26,,2498331,62.9,1470865,37.1
OK,Oklahoma,8,,519834,55.7,412665,44.3
OR,Oregon,6,,501017,63.7,282779,36.0
PA,Pennsylvania,29,,3130954,64.9,1673657,34.7
RI,Rhode Island,4,,315463,80.9,74615,19.1
SC,South Carolina,,8,215723,41.1,309048,58.9
SD,South Dakota,4,,163010,55.6,130108,44.4
TN,Tennessee,11,,634947,55.5,508965,44.5
TX,Texas,25,,1663185,63.3,958566,36.5
UT,Utah,4,,219628,54.7,181785,45.3
VT,Vermont,3,,108127,66.3,54942,33.7
VA,Virginia,12,,558038,53.5,481334,46.2
WA,Washington,9,,779881,62.0,470366,37.4
WV,West Virginia,7,,538087,67.9,253953,32.1
WI,Wisconsin,12,,1050424,62.1,638495,37.7
WY,Wyoming,3,,80718,56.6,61998,43.4
