State Abbreviation,State,Richard Nixon Electoral Votes,Hubert Humphrey Electoral Votes,George Wallace Electoral Votes,Richard Nixon Popular Votes,Richard Nixon Percent,Hubert Humphrey Popular Votes,Hubert Humphrey Percent,George Wallace Popular Votes,George Wallace Percent
AL,Alabama,,,10,146923,14.0,196579,18.7,691425,65.9
AK,Alaska,3,,,37600,45.3,35411,42.6,10024,12.1
AZ,Arizona,5,,,266721,54.8,170514,35.0,46573,9.6
AR,Arkansas,,,6,190759,30.8,188228,30.4,240982,38.9
CA,California,40,,,3467664,47.8,3244318,44.7,487270,6.7
CO,Colorado,6,,,409345,50.5,335174,41.3,60813,7.5
CT,Connecticut,,8,,556721,44.3,621561,49.5,76650,6.1
DE,Delaware,3,,,96714,45.1,89194,41.6,28459,13.3
DC,Dist. of Col.,,3,,31012,18.2,139566,81.8,0,0.0
FL,Florida,14,,,886804,40.5,676794,30.9,624207,28.5
GA,Georgia,,,12,380111,30.4,334440,26.7,535550,42.8
HI,Hawaii,,4,,91425,38.7,141324,59.8,3469,1.5
ID,Idaho,4,,,165369,56.8,89273,30.7,36541,12.5
IL,Illinois,26,,,2174774,47.1,2039814,44.2,390958,8.5
IN,Indiana,13,,,1067885,50.3,806659,38.0,243108,11.4
IA,Iowa,9,,,619106,53.0,476699,40.8,66422,5.7
KS,Kansas,7,,,478674,54.8,302996,34.7,88921,10.2
KY,Kentucky,9,,,462411,43.8,397541,37.6,193098,18.3
LA,Louisiana,,,10,257535,23.5,309615,28.2,530300,48.3
ME,Maine,,4,,169254,43.1,217312,55.3,6370,1.6
MD,Maryland,,10,,517995,41.9,538310,43.6,178734,14.5
MA,Massachusetts,,14,,766844,32.9,1469218,63.0,87088,3.7
MI,Michigan,,21,,1370665,41.5,1593082,48.2,331968,10.0
MN,Minnesota,,10,,658643,41.5,857738,54.0,68931,4.3
MS,Mississippi,,,7,88516,13.5,150644,23.0,415349,63.5
MO,Missouri,12,,,811932,44.9,791444,43.7,206126,11.4
MT,Montana,4,,,138835,50.6,114117,41.6,20015,7.3
NE,Nebraska,5,,,321163,59.8,170784,31.8,44904,8.4
NV,Nevada,3,,,73188,47.5,60598,39.3,20432,13.2
NH,New Hampshire,4,,,154903,52.1,130589,43.9,11173,3.8
NJ,New Jersey,17,,,1325467,46.1,1264206,44.0,262187,9.1
NM,New Mexico,4,,,169692,51.8,130081,39.7,25737,7.9
NY,New York,,43,,3007932,44.3,3378470,49.7,358864,5.3
NC,North Carolina,12,,1,627192,39.5,464113,29.2,496188,31.3
ND,North Dakota,4,,,138669,55.9,94769,38.2,14244,5.7
OH,Ohio,26,,,1791014,45.2,1700586,42.9,467495,11.8
OK,Oklahoma,8,,,449697,47.7,301658,32.0,191731,20.3
OR,Oregon,6,,,408433,49.8,358866,43.8,49683,6.1
PA,Pennsylvania,,29,,2090017,44.0,2259405,47.6,378582,8.0
RI,Rhode Island,,4,,122359,31.8,246518,64.0,15678,4.1
SC,South Carolina,8,,,254062,38.1,197486,29.6,215430,32.3
SD,South Dakota,4,,,149841,53.3,118023,42.0,13400,4.8
TN,Tennessee,11,,,472592,37.8,351233,28.1,424792,34.0
TX,Texas,,25,,1227844,39.9,1266804,41.1,584269,19.0
UT,Utah,4,,,238728,56.5,156665,31.1,26906,6.4
VT,Vermont,3,,,85142,52.8,70255,43.5,5104,3.2
VA,Virginia,12,,,590319,43.4,442387,32.5,321833,23.6
WA,Washington,,9,,588510,45.1,616037,47.2,96990,7.4
WV,West Virginia,,7,,307555,40.8,374091,49.6,72560,9.6
WI,Wisconsin,12,,,809997,47.9,748804,44.3,127835,7.6
WY,Wyoming,3,,,70927,55.8,45173,35.5,11105,8.7
