State Abbreviation,State,Richard M. Nixon Electoral Votes,George McGovern Electoral Votes,Richard M. Nixon Popular Votes,Richard M. Nixon Percent,George McGovern Popular Votes,George McGovern Percent
AL,Alabama,9,,728701,72.4,256923,25.5
AK,Alaska,3,,55349,58.1,32967,34.6
AZ,Arizona,6,,402812,64.7,198540,31.9
AR,Arkansas,6,,448541,68.9,199892,30.7
CA,California,45,,4602096,55.0,3475847,41.5
CO,Colorado,7,,597189,62.6,329980,34.6
CT,Connecticut,8,,810763,58.6,555498,40.1
DE,Delaware,3,,140357,59.6,92283,39.2
DC,Dist. of Col.,,3,35226,21.6,127627,78.1
FL,Florida,17,,1857759,71.9,718117,27.8
GA,Georgia,12,,881496,75.0,289529,24.6
HI,Hawaii,4,,168865,62.5,101409,37.5
ID,Idaho,4,,199384,64.2,80826,26.0
IL,Illinois,26,,2788179,59.0,1913472,40.5
IN,Indiana,13,,1405154,66.1,708568,33.3
IA,Iowa,8,,706207,57.6,496206,40.5
KS,Kansas,7,,619812,67.7,270287,29.5
KY,Kentucky,9,,676446,63.4,371159,34.8
LA,Louisiana,10,,686852,65.3,298142,28.4
ME,Maine,4,,256458,61.5,160584,38.5
MD,Maryland,10,,829305,61.3,505781,37.4
MA,Massachusetts,,14,1112078,45.2,1332540,54.2
MI,Michigan,21,,1961721,56.2,1459435,41.8
MN,Minnesota,10,,898269,51.6,802346,46.1
MS,Mississippi,7,,505125,78.2,126782,19.6
MO,Missouri,12,,1153852,62.2,697147,37.6
MT,Montana,4,,183976,57.9,120197,37.8
NE,Nebraska,5,,406298,70.5,169991,29.5
NV,Nevada,3,,115750,63.7,66016,36.3
NH,New Hampshire,4,,213724,64.0,116435,34.9
NJ,New Jersey,17,,1845502,61.6,1102211,36.8
NM,New Mexico,4,,235606,61.0,141084,36.5
NY,New York,41,,4192778,58.5,2951084,41.2
NC,North Carolina,13,,1054889,69.5,438705,28.9
ND,North Dakota,3,,174109,62.1,100384,35.8
OH,Ohio,25,,2441827,59.6,1558889,38.1
OK,Oklahoma,8,,759025,73.7,247147,24.0
OR,Oregon,6,,486686,52.4,392760,42.3
PA,Pennsylvania,27,,2714521,59.1,1796951,39.1
RI,Rhode Island,4,,220383,53.0,194645,46.8
SC,South Carolina,8,,477044,70.8,186824,27.7
SD,South Dakota,4,,166476,54.2,139945,45.5
TN,Tennessee,10,,813147,67.7,357293,29.7
TX,Texas,26,,2298896,66.2,1154289,33.3
UT,Utah,4,,323643,67.6,126284,26.4
VT,Vermont,3,,117149,62.7,68174,36.5
VA,Virginia*,11,,988493,67.8,438887,30.1
WA,Washington,9,,837135,56.9,568334,38.6
WV,West Virginia,6,,484964,63.6,277435,36.4
WI,Wisconsin,11,,989430,53.4,810174,43.7
WY,Wyoming,3,,100464,69.0,44358,30.5
