State Abbreviation,State,Jimmy Carter Electoral Votes,Gerald R. Ford Electoral Votes,Jimmy Carter Popular Votes,Jimmy Carter Percent,Gerald R. Ford Popular Votes,Gerald R. Ford Percent
AL,Alabama,9,,659170,55.7,504070,42.6
AK,Alaska,,3,44058,35.7,71555,57.9
AZ,Arizona,,6,295602,39.8,418642,56.4
AR,Arkansas,6,,498604,65.0,267903,34.9
CA,California,,45,3742284,47.6,3882244,49.3
CO,Colorado,,7,460353,42.6,584367,54.0
CT,Connecticut,,8,647895,46.9,719261,52.1
DE,Delaware,3,,122596,52.0,109831,46.6
DC,Dist. of Col.,3,,137818,81.6,27873,16.5
FL,Florida,17,,1636000,51.9,1469531,46.6
GA,Georgia,12,,979409,66.7,483743,33.0
HI,Hawaii,4,,147375,50.6,140003,48.1
ID,Idaho,,4,126549,36.8,204151,59.3
IL,Illinois,,26,2271295,48.1,2364269,50.1
IN,Indiana,,13,1014714,45.7,1183958,53.3
IA,Iowa,,8,619931,48.5,632863,49.5
KS,Kansas,,7,430421,44.9,502752,52.5
KY,Kentucky,9,,615717,52.8,531852,45.6
LA,Louisiana,10,,661365,51.7,587446,46.0
ME,Maine,,4,232279,48.1,236320,48.9
MD,Maryland,10,,759612,52.8,672661,46.7
MA,Massachusetts,14,,1429475,56.1,1030276,40.4
MI,Michigan,,21,1696714,46.4,1893742,51.8
MN,Minnesota,10,,1070440,54.9,819395,42.0
MS,Mississippi,7,,381309,49.6,366846,47.7
MO,Missouri,12,,998387,51.1,927443,47.5
MT,Montana,,4,149259,45.4,173703,52.8
NE,Nebraska,,5,233692,38.5,359705,59.2
NV,Nevada,,3,92479,45.8,101273,50.2
NH,New Hampshire,,4,147635,43.5,185935,54.7
NJ,New Jersey,,17,1444653,47.9,1509688,50.1
NM,New Mexico,,4,201148,48.1,211419,50.5
NY,New York,41,,3389558,51.9,3100791,47.5
NC,North Carolina,13,,927365,55.2,741960,44.2
ND,North Dakota,,3,136078,45.8,153470,51.6
OH,Ohio,25,,2011621,48.9,2000505,48.7
OK,Oklahoma,,8,532442,48.7,545708,50.0
OR,Oregon,,6,490407,47.6,492120,47.8
PA,Pennsylvania,27,,2328677,50.4,2205604,47.7
RI,Rhode Island,4,,227636,55.4,181249,44.1
SC,South Carolina,8,,450807,56.2,346149,43.1
SD,South Dakota,,4,147068,48.9,151505,50.4
TN,Tennessee,10,,825879,55.9,633969,42.9
TX,Texas,26,,2082319,51.1,1953300,48.0
UT,Utah,,4,182110,33.6,337908,62.4
VT,Vermont,,3,80954,43.1,102085,54.4
VA,Virginia,,12,813896,48.0,836554,49.3
WA,Washington*,,8,717323,46.1,777732,50.0
WV,West Virginia,6,,435914,58.0,314760,41.9
WI,Wisconsin,11,,1040232,49.4,1004987,47.8
WY,Wyoming,,3,62239,39.8,92717,59.3
