State Abbreviation,State,Ronald Reagan Electoral Votes,Jimmy Carter Electoral Votes,Ronald Reagan Popular Votes,Ronald Reagan Percent,Jimmy Carter Popular Votes,Jimmy Carter  Percent,John Anderson Popular Votes,John Anderson Percent
AL,Alabama,9,,654192,48.8,636730,47.4,16481,1.2
AK,Alaska,3,,86112,54.3,41842,26.4,11155,7.0
AZ,Arizona,6,,529688,60.6,246843,28.2,76952,8.8
AR,Arkansas,6,,403164,48.1,398041,47.5,22468,2.7
CA,California,45,,4524858,52.7,3083661,35.9,739833,8.6
CO,Colorado,7,,652264,55.1,367973,31.1,130633,11.0
CT,Connecticut,8,,677210,48.2,541732,38.5,171807,12.2
DE,Delaware,3,,111252,47.2,105754,44.8,16288,6.9
DC,Dist. of Col.,,3,23545,13.4,131113,74.8,16337,9.3
FL,Florida,17,,2046951,55.5,1419475,38.5,189692,5.1
GA,Georgia,,12,654168,41.0,890733,55.8,36055,2.3
HI,Hawaii,,4,130112,42.9,135879,44.8,32021,10.6
ID,Idaho,4,,290699,66.5,110192,25.2,27058,6.2
IL,Illinois,26,,2358049,49.6,1981413,41.7,346754,7.3
IN,Indiana,13,,1255656,56.0,844197,37.7,111639,5.0
IA,Iowa,8,,676026,51.3,508672,38.6,115633,8.8
KS,Kansas,7,,566812,57.9,326150,33.3,68231,7.0
KY,Kentucky,9,,635274,49.1,616417,47.6,31127,2.4
LA,Louisiana,10,,792853,51.2,708453,45.7,26345,1.7
ME,Maine,4,,238522,45.6,220974,42.3,53327,10.2
MD,Maryland,,10,680606,44.2,726161,47.1,119537,7.8
MA,Massachusetts,14,,1057631,41.9,1053802,41.7,382539,15.2
MI,Michigan,21,,1915225,49.0,1661532,42.5,275223,7.0
MN,Minnesota,,10,873268,42.6,954174,46.5,174990,8.5
MS,Mississippi,7,,441089,49.4,429281,48.1,12036,1.3
MO,Missouri,12,,1074181,51.2,931182,44.3,77920,3.7
MT,Montana,4,,206814,56.8,118032,32.4,29281,8.0
NE,Nebraska,5,,419937,65.5,166851,26.0,44993,7.0
NV,Nevada,3,,155017,62.5,66666,26.9,17651,7.1
NH,New Hampshire,4,,221705,57.7,108864,28.4,49693,12.9
NJ,New Jersey,17,,1546557,52.0,1147364,38.6,234632,7.9
NM,New Mexico,4,,250779,54.9,167826,36.7,29459,6.4
NY,New York,41,,2893831,46.7,2728372,44.0,467801,7.5
NC,North Carolina,13,,915018,49.3,875635,47.2,52800,2.8
ND,North Dakota,3,,193695,64.2,79189,26.3,23640,7.8
OH,Ohio,25,,2206545,51.5,1752414,40.9,254472,5.9
OK,Oklahoma,8,,695570,60.5,402026,35.0,38284,3.3
OR,Oregon,6,,571044,48.3,456890,38.7,112389,9.5
PA,Pennsylvania,27,,2261872,49.6,1937540,42.5,292921,6.4
RI,Rhode Island,,4,154793,37.2,198342,47.7,59819,14.4
SC,South Carolina,8,,441841,49.4,430385,48.1,14153,1.6
SD,South Dakota,4,,198343,60.5,103855,31.7,21431,6.5
TN,Tennessee,10,,787761,48.7,783051,48.4,35991,2.2
TX,Texas,26,,2510705,55.3,1881147,41.4,111613,2.5
UT,Utah,4,,439687,72.8,124266,20.6,30284,5.0
VT,Vermont,3,,94628,44.4,81952,38.4,31761,14.9
VA,Virginia,12,,989609,53.0,752174,40.3,95418,5.1
WA,Washington,9,,865244,49.7,650193,37.3,185073,10.6
WV,West Virginia,,6,334206,45.3,367462,49.8,31691,4.3
WI,Wisconsin,11,,1088845,47.9,981584,43.2,160657,7.1
WY,Wyoming,3,,110700,62.6,49427,28.0,12072,6.8
