State Abbreviation,State,Ronald Reagan Electoral Votes,Walter Mondale Electoral Votes,Ronald Reagan Popular Votes,Ronald Reagan Percent,Walter Mondale Popular Votes,Walter Mondale  Percent
AL,Alabama,9,,872849,60.5,551899,38.3
AK,Alaska,3,,138377,66.7,62007,29.9
AZ,Arizona,7,,681416,66.4,333854,32.5
AR,Arkansas,6,,534774,60.5,338646,38.3
CA,California,47,,5467009,57.5,3922519,41.3
CO,Colorado,8,,821817,63.4,454975,35.1
CT,Connecticut,8,,890877,60.7,569597,38.8
DE,Delaware,3,,152190,59.8,101656,39.9
DC,Dist. of Col.,,3,29009,13.7,180408,85.4
FL,Florida,21,,2730350,65.3,1448816,34.7
GA,Georgia,12,,1068722,60.2,706628,39.8
HI,Hawaii,4,,185050,55.1,147154,43.8
ID,Idaho,4,,297523,72.4,108510,26.4
IL,Illinois,24,,2707103,56.2,2086499,43.3
IN,Indiana,12,,1377230,61.7,841481,37.7
IA,Iowa,8,,703088,53.3,605620,45.9
KS,Kansas,7,,677296,66.3,333149,32.6
KY,Kentucky,9,,821702,60.0,539539,39.4
LA,Louisiana,10,,1037299,60.8,651586,38.2
ME,Maine,4,,336500,60.8,214515,38.8
MD,Maryland,10,,879918,52.5,787935,47.0
MA,Massachusetts,13,,1310936,51.2,1239606,48.4
MI,Michigan,20,,2251571,59.2,1529638,40.2
MN,Minnesota,,10,1032603,49.5,1036364,49.7
MS,Mississippi,7,,582377,61.9,352192,37.4
MO,Missouri,11,,1274188,60.0,848583,40.0
MT,Montana,4,,232450,60.5,146742,38.2
NE,Nebraska,5,,460054,70.6,187866,28.8
NV,Nevada,4,,188770,65.8,91655,32.0
NH,New Hampshire,4,,267051,68.6,120395,30.9
NJ,New Jersey,16,,1933630,60.1,1261323,39.2
NM,New Mexico,5,,307101,59.7,201769,39.2
NY,New York,36,,3664763,53.8,3119609,45.8
NC,North Carolina,13,,1346481,61.9,824287,37.9
ND,North Dakota,3,,200336,64.8,104429,33.8
OH,Ohio,23,,2678560,58.9,1825440,40.1
OK,Oklahoma,8,,861530,68.6,385080,30.7
OR,Oregon,7,,685700,55.9,536479,43.7
PA,Pennsylvania,25,,2584323,53.3,2228131,46.0
RI,Rhode Island,4,,212080,51.7,197106,48.0
SC,South Carolina,8,,615539,63.6,344459,35.6
SD,South Dakota,3,,200267,63.0,116113,36.5
TN,Tennessee,11,,990212,57.8,711714,41.6
TX,Texas,29,,3433428,63.6,1949276,36.1
UT,Utah,5,,469105,74.5,155369,24.7
VT,Vermont,3,,135865,57.9,95730,40.8
VA,Virginia,12,,1337078,62.3,796250,37.1
WA,Washington,10,,1051670,55.8,807352,42.9
WV,West Virginia,6,,405483,55.1,328125,44.6
WI,Wisconsin,11,,1198584,54.2,995740,45.0
WY,Wyoming,3,,133241,70.5,53370,28.2
