State Abbreviation,State,George Bush Electoral Votes,Michael S. Dukakis Electoral Votes,George Bush Popular Votes,George Bush Percent,Michael S. Dukakis Popular Votes,Michael S. Dukakis  Percent
AL,Alabama,9,,815576,59.2,549506,39.9
AK,Alaska,3,,119251,59.6,72584,36.3
AZ,Arizona,7,,702541,60.0,454029,38.7
AR,Arkansas,6,,466578,56.4,349237,42.2
CA,California,47,,5054917,51.1,4702233,47.6
CO,Colorado,8,,728177,53.1,621453,45.3
CT,Connecticut,8,,750241,52.0,676584,46.9
DE,Delaware,3,,139639,55.9,108647,43.5
DC,Dist. of Col.,,3,27590,14.3,159407,82.6
FL,Florida,21,,2618885,60.9,1656701,38.5
GA,Georgia,12,,1081331,59.8,714792,39.5
HI,Hawaii,,4,158625,44.8,192364,54.3
ID,Idaho,4,,253881,62.1,147272,36.0
IL,Illinois,24,,2310939,50.7,2215940,48.6
IN,Indiana,12,,1297763,59.8,860643,39.7
IA,Iowa,,8,545355,44.5,670557,54.7
KS,Kansas,7,,554049,55.8,422636,42.6
KY,Kentucky,9,,734281,55.5,580368,43.9
LA,Louisiana,10,,883702,54.3,717460,44.1
ME,Maine,4,,307131,55.3,243569,43.9
MD,Maryland,10,,876167,51.1,826304,48.2
MA,Massachusetts,,13,1194635,45.4,1401415,53.2
MI,Michigan,20,,1965486,53.6,1675783,45.7
MN,Minnesota,,10,962337,45.9,1109471,52.9
MS,Mississippi,7,,557890,59.9,363921,39.1
MO,Missouri,11,,1084953,51.8,1001619,47.8
MT,Montana,4,,190412,52.1,168936,46.2
NE,Nebraska,5,,397956,60.2,259235,39.2
NV,Nevada,4,,206040,58.9,132738,37.9
NH,New Hampshire,4,,281537,62.4,163696,36.3
NJ,New Jersey,16,,1743192,56.2,1320352,42.6
NM,New Mexico,5,,270341,51.9,244497,46.9
NY,New York,,36,3081871,47.5,3347882,51.6
NC,North Carolina,13,,1237258,58.0,890167,41.7
ND,North Dakota,3,,166559,56.0,127739,43.0
OH,Ohio,23,,2416549,55.0,1939629,44.1
OK,Oklahoma,8,,678367,57.9,483423,41.3
OR,Oregon,,7,560126,46.6,616206,51.3
PA,Pennsylvania,25,,2300087,50.7,2194944,48.4
RI,Rhode Island,,4,177761,43.9,225123,55.6
SC,South Carolina,8,,606443,61.5,370554,37.6
SD,South Dakota,3,,165415,52.8,145560,46.5
TN,Tennessee,11,,947233,57.9,679794,41.5
TX,Texas,29,,3036829,56.0,2352748,43.3
UT,Utah,5,,428442,66.2,207343,32.0
VT,Vermont,3,,124331,51.1,115775,47.6
VA,Virginia,12,,1309162,59.7,859799,39.2
WA,Washington,,10,903835,48.5,933516,50.0
WV,West Virginia*,,5,310065,47.5,341016,52.2
WI,Wisconsin,,11,1047499,47.8,1126794,51.4
WY,Wyoming,3,,106867,60.5,67113,38.0
