Percent of Popular Vote,Candidate,Party Label,Popular Vote Total
53.37,George Bush,Republican,48886097
45.65,Michael S. Dukakis,Democratic,41809074
0.00,Delmar Dennis,American,3475
0.01,Earl Dodge,Prohibition,8002
0.05,David Duke,Pcpulist,47047
0.24,Lenora B. Fulani,New Alliance,217219
0.03,James C. Griffin,American Independent,27818
0.00,Jack Herer,GrassRoots,1949
0.01,Larry Holmes,Workers Vbrld,7846
0.00,Willie Kenoyer,Socialist,3882
0.03,Lyndon H. LaRouche,National Economic,25562
0.01,Herbert Lewin,Peace & Freedom,10370
0.02,William A. Marra,Right to Life,20504
0.00,John G. Martin,Third World Assembly,236
0.03,Eugene J. McCarthy,Oonsumer,30905
0.47,Ronald E. Paul,Libertarian,432179
0.02,James Mac Warren,Socialist Workers,15604
0.02,Edward Winn,Workers league,18693
0.00,Louie G. Youngkeit,Independent,372
0.02,Write-In,,21041
0.01,None of Above,(Nevada Option),6934
