State Abbreviation,State,Bill Clinton Electoral Votes,George Bush Electoral Votes,Bill Clinton Popular Votes,Bill Clinton Percent,George Bush Popular Votes,George Bush Percent,Ross Perot Popular Votes,Ross Perot Percent
AL,Alabama,,9,690080,40.9,804283,47.6,183109,10.8
AK,Alaska,,3,78294,30.3,102000,39.5,73481,28.4
AZ,Arizona,,8,543050,36.5,572086,38.5,353741,23.8
AR,Arkansas,6,,505823,53.2,337324,35.5,99132,10.4
CA,California,54,,5121325,46.0,3630574,32.6,2296006,20.6
CO,Colorado,8,,629681,40.1,562850,35.9,366010,23.3
CT,Connecticut,8,,682318,42.2,578313,35.8,348771,21.6
DE,Delaware,3,,126054,43.5,102313,35.3,59213,20.4
DC,Dist. of Col.,3,,192619,84.6,20698,9.1,9681,4.3
FL,Florida,,25,2072698,39.0,2173310,40.9,1053067,19.8
GA,Georgia,13,,1008966,43.5,995252,42.9,309657,13.3
HI,Hawaii,4,,179310,48.1,136822,36.7,53003,14.2
ID,Idaho,,4,137013,28.4,202645,42.0,130395,27.0
IL,Illinois,22,,2453350,48.6,1734096,34.3,840515,16.6
IN,Indiana,,12,848420,36.8,989375,42.9,455934,19.8
IA,Iowa,7,,586353,43.3,504891,37.3,253468,18.7
KS,Kansas,,6,390434,33.7,449951,38.9,312358,27.0
KY,Kentucky,8,,665104,44.6,617178,41.3,203944,13.7
LA,Louisiana,9,,815971,45.6,733386,41.0,211478,11.8
ME,Maine,4,,263420,38.8,206504,30.4,206820,30.4
MD,Maryland,10,,988571,49.8,707094,35.6,281414,14.2
MA,Massachusetts,12,,1318662,47.5,805049,29.0,630731,22.7
MI,Michigan,18,,1871182,43.8,1554940,36.4,824813,19.3
MN,Minnesota,10,,1020997,43.5,747841,31.9,562506,24.0
MS,Mississippi,,7,400258,40.8,487793,49.7,85626,8.7
MO,Missouri,11,,1053873,44.1,811159,33.9,518741,21.7
MT,Montana,3,,154507,37.6,144207,35.1,107225,26.1
NE,Nebraska,,5,216864,29.4,343678,46.6,174104,23.6
NV,Nevada,4,,189148,37.4,175828,34.7,132580,26.2
NH,New Hampshire,4,,209040,38.9,202484,37.6,121337,22.6
NJ,New Jersey,15,,1436206,43.0,1356865,40.6,521829,15.6
NM,New Mexico,5,,261617,45.9,212824,37.3,91895,16.1
NY,New York,33,,3444450,49.7,2346649,33.9,1090721,15.7
NC,North Carolina,,14,1114042,42.7,1134661,43.4,357864,13.7
ND,North Dakota,,3,99168,32.2,136244,44.2,71084,23.1
OH,Ohio,21,,1984942,40.2,1894310,38.3,1036426,21.0
OK,Oklahoma,,8,473066,34.0,592929,42.6,319878,23.0
OR,Oregon,7,,621314,42.5,475757,32.5,354091,24.2
PA,Pennsylvania,23,,2239164,45.1,1791841,36.1,902667,18.2
RI,Rhode Island,4,,213299,47.0,131601,29.0,105045,23.2
SC,South Carolina,,8,479514,39.9,577507,48.0,138872,11.5
SD,South Dakota,,3,124888,37.1,136718,40.7,73295,21.8
TN,Tennessee,11,,933521,47.1,841300,42.4,199968,10.1
TX,Texas,,32,2281815,37.1,2496071,40.6,1354781,22.0
UT,Utah,,5,183429,24.7,322632,43.4,203400,27.3
VT,Vermont,3,,133592,46.1,88122,30.4,65991,22.8
VA,Virginia,,13,1038650,40.6,1150517,45.0,348639,13.6
WA,Washington,11,,993037,43.4,731234,32.0,541780,23.7
WV,West Virginia,5,,331001,48.4,241974,35.4,108829,15.9
WI,Wisconsin,11,,1041066,41.1,930855,36.8,544479,21.5
WY,Wyoming,,3,68160,34.0,79347,39.6,51263,25.6
