Percent of Popular Vote,Candidate (Party Label),Popular Vote Total
43.01,Bill Clinton (Democrat),44909889
37.45,George Bush (Republican),39104545
18.91,Ross Perot (Independent),19742267
0.28,Andre Marrou (Libertarian),291628
0.10,"James ""Bo"" Gritz (Populist/America First)",107002
0.07,Lenora Fulani (New Alliance),73708
0.04,Howard Phillips (U.S. Taxpayers),43398
0.04,John Hagelin (Natural Law),39163
0.03,Ron Daniels (Independent),27969
0.02,Lyndon LaRouche (Independent),26334
0.02,James Mac Warren (Socialist Workers),23091
0.00,Drew Bradford (Independent),4749
0.00,Jack Herer (Grassroots),3875
0.00,John Quinn Brisben (Socialist),3064
0.00,Helen Halyard (Workers League),3050
0.00,John Yiamouyiannis (Independent),2199
0.00,Delbert Ehlers (Independent),1149
0.00,Earl Dodge (Prohibition),961
0.00,Jim Boren (Apathy),956
0.00,Eugene Hem (Third Party),405
0.00,Isabelle Masters (Looking Back Group),339
0.00,Robert J. Smith (American),293
0.00,Gloria Estella La Riva (Workers World),181
0.00,None of These Candidates (Nevada),2537
0.01,Write-In (Miscellaneous),13907
