State Abbreviation,State,Bill Clinton Electoral Votes,Bob Dole Electoral Votes,Ross Perot Electoral Votes,Bill Clinton Popular Votes,Bill Clinton Percent,Bob Dole Popular Votes,Bob Dole Percent,Ross Perot Popular Votes,Ross Perot Percent
AL,Alabama,,9,,662165,43.2,769044,50.1,92149,6.0
AK,Alaska,,3,,80380,33.3,122746,50.8,26333,10.9
AZ,Arizona,8,,,653288,46.5,622073,44.3,112072,8.0
AR,Arkansas,6,,,475171,53.7,325416,36.8,69884,7.9
CA,California,54,,,5119835,51.1,3828380,38.2,697847,7.0
CO,Colorado,,8,,671152,44.4,691848,45.8,99629,6.6
CT,Connecticut,8,,,735740,52.8,483109,34.7,139523,10.0
DE,Delaware,3,,,140355,51.8,99062,36.6,28719,10.6
DC,Dist. of Col.,3,,,158220,85.2,17339,9.3,3611,1.9
FL,Florida,25,,,2546870,48.0,2244536,42.3,483870,9.1
GA,Georgia,,13,,1053849,45.8,1080843,47.0,146337,6.4
HI,Hawaii,4,,,205012,56.9,113943,31.6,27358,7.6
ID,Idaho,,4,,165443,33.6,256595,52.2,62518,12.7
IL,Illinois,22,,,2341744,54.3,1587021,36.8,346408,8.0
IN,Indiana,,12,,887424,41.6,1006693,47.1,224299,10.5
IA,Iowa,7,,,620258,50.3,492644,39.9,105159,8.5
KS,Kansas,,6,,387659,36.1,583245,54.3,92639,8.6
KY,Kentucky,8,,,636614,45.8,623283,44.9,120396,8.7
LA,Louisiana,9,,,927837,52.0,712586,39.9,123293,6.9
ME,Maine,4,,,312788,51.6,186378,30.8,85970,14.2
MD,Maryland,10,,,966207,54.3,681530,38.3,115812,6.5
MA,Massachusetts,12,,,1571763,61.5,718107,28.1,227217,8.9
MI,Michigan,18,,,1989653,51.7,1481212,38.5,336670,8.7
MN,Minnesota,10,,,1120438,51.1,766476,35.0,257704,11.8
MS,Mississippi,,7,,394022,44.1,439838,49.2,52222,5.8
MO,Missouri,11,,,1025935,47.5,890016,41.2,217188,10.1
MT,Montana,,3,,167922,41.3,179652,44.1,55229,13.6
NE,Nebraska,,5,,236761,35.0,363467,53.7,71278,10.5
NV,Nevada,4,,,203974,43.9,199244,42.9,43986,9.5
NH,New Hampshire,4,,,246214,49.3,196532,39.4,48390,9.7
NJ,New Jersey,15,,,1652329,53.7,1103078,35.9,262134,8.5
NM,New Mexico,5,,,273495,49.2,232751,41.9,32257,5.8
NY,New York,33,,,3756177,59.5,1933492,30.6,503458,8.0
NC,North Carolina,,14,,1107849,44.0,1225938,48.7,168059,6.7
ND,North Dakota,,3,,106905,40.1,125050,46.9,32515,12.2
OH,Ohio,21,,,2148222,47.4,1859883,41.0,483207,10.7
OK,Oklahoma,,8,,488105,40.4,582315,48.3,130788,10.8
OR,Oregon,7,,,649641,47.2,538152,39.1,121221,8.8
PA,Pennsylvania,23,,,2215819,49.2,1801169,40.0,430984,9.6
RI,Rhode Island,4,,,233050,59.7,104683,26.8,43723,11.2
SC,South Carolina,,8,,506283,44.0,573458,49.8,64386,5.6
SD,South Dakota,,3,,139333,43.0,150543,46.5,31250,9.7
TN,Tennessee,11,,,909146,48.0,863530,45.6,105918,5.6
TX,Texas,,32,,2459683,43.8,2736167,48.8,378537,6.7
UT,Utah,,5,,221633,33.3,361911,54.4,66461,10.0
VT,Vermont,3,,,137894,53.4,80352,31.1,31024,12.0
VA,Virginia,,13,,1091060,45.1,1138350,47.1,159861,6.6
WA,Washington,11,,,1123323,49.8,840712,37.3,201003,8.9
WV,West Virginia,5,,,327812,51.5,233946,36.8,71639,11.3
WI,Wisconsin,11,,,1071971,48.8,845029,38.5,227339,10.4
WY,Wyoming,,3,,77934,36.8,105388,49.8,25928,12.3
