State Abbreviation,State,George W. Bush Electoral Votes,Al Gore Electoral Votes,George W. Bush Popular Votes,George W. Bush Percent,Al Gore Popular Votes,Al Gore Percent,All Others Popular Votes,All Others Percent
AL,Alabama,9,,941173,56.5,692611,41.6,32488,1.9
AK,Alaska,3,,167398,58.6,79004,27.7,39158,13.7
AZ,Arizona,8,,781652,51.0,685341,44.7,65023,4.2
AR,Arkansas,6,,472940,51.3,422768,45.9,26073,2.8
CA,California,,54,4567429,41.7,5861203,53.4,537224,4.9
CO,Colorado,8,,883748,50.8,738227,42.4,119393,6.9
CT,Connecticut,,8,561094,38.4,816015,55.9,82416,5.6
DE,Delaware,,3,137288,41.9,180068,55.0,10266,3.1
DC*,Dist. of Col.,,2,18073,9.0,171923,85.2,11898,5.9
FL,Florida,25,,2912790,48.8,2912253,48.8,138067,2.3
GA,Georgia,13,,1419720,54.7,1116230,43.0,60854,2.3
HI,Hawaii,,4,137845,37.5,205286,55.8,24820,6.7
ID,Idaho,4,,336937,67.2,138637,27.6,26047,5.2
IL,Illinois,,22,2019421,42.6,2589026,54.6,133676,2.8
IN,Indiana,12,,1245836,56.6,901980,41.0,51486,2.3
IA,Iowa,,7,634373,48.2,638517,48.5,42673,3.2
KS,Kansas,6,,622332,58.0,399276,37.2,50610,4.7
KY,Kentucky,8,,872492,56.5,638898,41.4,32797,2.1
LA,Louisiana,9,,927871,52.6,792344,44.9,45441,2.6
ME,Maine,,4,286616,44.0,319951,49.1,45250,6.9
MD,Maryland,,10,813797,40.2,1145782,56.6,65901,3.3
MA,Massachusetts,,12,878502,32.5,1616487,59.8,207995,7.7
MI,Michigan,,18,1953139,46.1,2170418,51.3,108944,2.6
MN,Minnesota,,10,1109659,45.5,1168266,47.9,160760,6.6
MS,Mississippi,7,,572844,57.6,404614,40.7,16726,1.7
MO,Missouri,11,,1189924,50.4,1111138,47.1,58830,2.5
MT,Montana,3,,240178,58.4,137126,33.4,33693,8.2
NE,Nebraska,5,,433862,62.2,231780,33.3,31377,4.5
NV,Nevada,4,,301575,49.5,279978,46.0,27417,4.5
NH,New Hampshire,4,,273559,48.1,266348,46.8,29174,5.1
NJ,New Jersey,,15,1284173,40.3,1788850,56.1,114203,3.6
NM,New Mexico,,5,286417,47.8,286783,47.9,25405,4.2
NY,New York,,33,2403374,35.2,4107697,60.2,310928,4.6
NC,North Carolina,14,,1631163,56.0,1257692,43.2,22407,0.8
ND,North Dakota,3,,174852,60.7,95284,33.1,18120,6.3
OH,Ohio,21,,2351209,50.0,2186190,46.5,168058,3.6
OK,Oklahoma,8,,744337,60.3,474276,38.4,15616,1.3
OR,Oregon,,7,713577,46.5,720342,47.0,100049,6.5
PA,Pennsylvania,,23,2281127,46.4,2485967,50.6,146025,3.0
RI,Rhode Island,,4,130555,31.9,249508,61.0,29049,7.1
SC,South Carolina,8,,785937,56.8,565561,40.9,31219,2.3
SD,South Dakota,3,,190700,60.3,118804,37.6,6765,2.1
TN,Tennessee,11,,1061949,51.1,981720,47.3,32512,1.6
TX,Texas,32,,3799639,59.3,2433746,38.0,174252,2.7
UT,Utah,5,,515096,66.8,203053,26.3,52605,6.8
VT,Vermont,,3,119775,40.7,149022,50.6,25511,8.7
VA,Virginia,13,,1437490,52.5,1217290,44.4,84667,3.1
WA,Washington,,11,1108864,44.6,1247652,50.2,130917,5.3
WV,West Virginia,5,,336475,51.9,295497,45.6,16152,2.5
WI,Wisconsin,,11,1237279,47.6,1242987,47.8,118341,4.6
WY,Wyoming,3,,147947,67.8,60481,27.7,9923,4.5
