State Abbreviation,State,George W. Bush Electoral Votes,John F. Kerry Electoral Votes,George W. Bush Popular Votes,George W. Bush Percent,John F. Kerry Popular Votes,John F. Kerry Percent,All Others Popular Votes,All Others Percent
AL,Alabama,9,,1176394,62.5,693933,36.8,13122,0.7
AK,Alaska,3,,190889,61.1,111025,35.5,10684,3.4
AZ,Arizona,10,,1104294,54.9,893524,44.4,14767,0.7
AR,Arkansas,6,,572898,54.3,469953,44.5,12094,1.1
CA,California,,55,5509826,44.4,6745485,54.3,166541,1.3
CO,Colorado,9,,1101255,51.7,1001732,47.0,27343,1.3
CT,Connecticut,,7,693826,43.9,857488,54.3,27455,1.7
DE,Delaware,,3,171660,45.8,200152,53.3,3378,0.9
DC,Dist. of Col.,,3,21256,9.3,202970,89.2,3360,1.5
FL,Florida,27,,3964522,52.1,3583544,47.1,61744,0.8
GA,Georgia,15,,1914254,58.0,1366149,41.4,21472,0.7
HI,Hawaii,,4,194191,45.3,231708,54.0,3114,0.7
ID,Idaho,4,,409235,68.4,181098,30.3,8114,1.4
IL,Illinois,,21,2345946,44.5,2891550,54.8,36826,0.7
IN,Indiana,11,,1479438,59.9,969011,39.3,19553,0.8
IA,Iowa,7,,751957,49.9,741898,49.2,13053,0.9
KS,Kansas,6,,736456,62.0,434993,36.6,16307,1.4
KY,Kentucky,8,,1069439,59.5,712733,39.7,13710,0.8
LA,Louisiana,9,,1102169,56.7,820299,42.2,20638,1.1
ME,Maine,,4,330201,44.6,396842,53.6,13709,1.9
MD,Maryland,,10,1024703,42.9,1334493,55.9,27482,1.2
MA,Massachusetts,,12,1071109,36.8,1803800,61.9,37479,1.3
MI,Michigan,,17,2313746,47.8,2479183,51.2,46323,1.0
MN,Minnesota,,9*,1346695,47.6,1445014,51.1,36678,1.3
MS,Mississippi,6,,684981,59.5,458094,39.8,9070,0.8
MO,Missouri,11,,1455713,53.3,1259171,46.1,16480,0.6
MT,Montana,3,,266063,59.1,173710,38.6,10672,2.4
NE,Nebraska,5,,512814,65.9,254328,32.7,11044,1.4
NV,Nevada,5,,418690,50.5,397190,47.9,13707,1.7
NH,New Hampshire,,4,331237,48.9,340511,50.2,5990,0.9
NJ,New Jersey,,15,1670003,46.2,1911430,52.9,30258,0.8
NM,New Mexico,5,,376930,49.8,370942,49.0,8432,1.1
NY,New York,,31,2962567,40.1,4314280,58.4,114189,1.5
NC,North Carolina,15,,1961166,56.0,1525849,43.6,13992,0.4
ND,North Dakota,3,,196651,62.9,111052,35.5,5130,1.6
OH,Ohio,20,,2859768,50.8,2741167,48.7,26973,0.5
OK,Oklahoma,7,,959792,65.6,503966,34.4,0,0.0
OR,Oregon,,7,866831,47.2,943163,51.3,26788,1.5
PA,Pennsylvania,,21,2793847,48.4,2938095,50.9,37648,0.7
RI,Rhode Island,,4,169046,38.7,259765,59.4,8323,1.9
SC,South Carolina,8,,937974,58.0,661699,40.9,18057,1.1
SD,South Dakota,3,,232584,59.9,149244,38.4,6387,1.6
TN,Tennessee,11,,1384375,56.8,1036477,42.5,16467,0.7
TX,Texas,34,,4526917,61.1,2832704,38.2,51144,0.7
UT,Utah,5,,663742,71.5,241199,26.0,22903,2.5
VT,Vermont,,3,121180,38.8,184067,58.9,7062,2.3
VA,Virginia,13,,1716959,53.7,1454742,45.5,26666,0.8
WA,Washington,,11,1304894,45.6,1510201,52.8,43989,1.5
WV,West Virginia,5,,423778,56.1,326541,43.2,5568,0.7
WI,Wisconsin,,10,1478120,49.3,1489504,49.7,29383,1.0
WY,Wyoming,3,,167629,68.9,70776,29.1,5023,2.1
