Percent of Popular Vote,Candidate,(Party Label),Popular Vote Total
50.73,George W. Bush,Republican,62040610
48.27,John F. Kerry,Democrat,59028444
0.38,Ralph Nader,Reform/Populist/Independent,465650
0.32,Michael Badnarik,Libertarian,397265
0.12,Michael Anthony Peroutka,Constitution,143630
0.10,David Cobb,Green,119859
0.03,Write-In (Miscellaneous),,37240
0.02,Leonard Peltier,Peace and Freedom,27607
0.01,Walter F. Brown,Socialist/Natural Law,10837
0.01,James Harris,Socialist Workers,7102
0.00,Róger Calero,Socialist Workers,3689
0.00,None of These Candidates (Nevada),,3688
0.00,Thomas J. Harens,Christian Freedom,2387
0.00,Gene Amondson,Concerns of People/Prohibition,1944
0.00,Bill Van Auken,Socialist Equality,1857
0.00,John Parker,Workers World/Liberty Union,1646
0.00,Charles Jay,Personal Choice,946
0.00,Stanford E. (Andy) Andress,Unaffiliated,804
0.00,Earl F. Dodge,Prohibition,140
