Electoral Vote Total,Candidate,(Party Label),Popular Vote Total,Percent of Popular Vote
286,George W. Bush,Republican,62040610,50.73
251,John F. Kerry,Democrat,59028444,48.27
0,Ralph Nader,Reform/Populist/Independent,465650,0.38
0,Michael Badnarik,Libertarian,397265,0.32
0,Michael Anthony Peroutka,Constitution,143630,0.12
0,David Cobb,Green,119859,0.10
0,Write-In (Miscellaneous),,37240,0.03
0,Leonard Peltier,Peace and Freedom,27607,0.02
0,Walter F. Brown,Socialist/Natural Law,10837,0.01
0,James Harris,Socialist Workers,7102,0.01
0,Róger Calero,Socialist Workers,3689,0.00
0,None of These Candidates (Nevada),,3688,0.00
0,Thomas J. Harens,Christian Freedom,2387,0.00
0,Gene Amondson,Concerns of People/Prohibition,1944,0.00
0,Bill Van Auken,Socialist Equality,1857,0.00
0,John Parker,Workers World/Liberty Union,1646,0.00
0,Charles Jay,Personal Choice,946,0.00
0,Stanford E. (Andy) Andress,Unaffiliated,804,0.00
0,Earl F. Dodge,Prohibition,140,0.00
