State Abbreviation,State,Barack Obama Electoral Votes,John McCain Electoral Votes,Barack Obama Popular Votes,Barack Obama Percent,John McCain Popular Votes,John McCain Percent,All Others Popular Votes,All Others Percent
AL,Alabama,,9,813479,38.7,1266546,60.3,19794,0.9
AK,Alaska,,3,123594,37.9,193841,59.4,8762,2.7
AZ,Arizona,,10,1034707,45.1,1230111,53.6,28657,1.2
AR,Arkansas,,6,422310,38.9,638017,58.7,26290,2.4
CA,California,55,,8274473,61.0,5011781,37.0,275646,2.0
CO,Colorado,9,,1288633,53.7,1073629,44.7,39200,1.6
CT,Connecticut,7,,997772,60.6,629428,38.2,19597,1.2
DE,Delaware,3,,255459,61.9,152374,36.9,4579,1.1
DC,Dist. of Col.,3,,245800,92.5,17367,6.5,2686,1.0
FL,Florida,27,,4282074,51.0,4045624,48.2,63046,0.8
GA,Georgia,,15,1844123,47.0,2048759,52.2,31604,0.8
HI,Hawaii,4,,325871,71.8,120566,26.6,7131,1.6
ID,Idaho,,4,236440,36.1,403012,61.5,15670,2.4
IL,Illinois,21,,3419348,61.9,2031179,36.8,71844,1.3
IN,Indiana,11,,1374039,49.9,1345648,48.9,31367,1.1
IA,Iowa,7,,828940,53.9,682379,44.4,25804,1.7
KS,Kansas,,6,514765,41.7,699655,56.6,21452,1.7
KY,Kentucky,,8,751985,41.2,1048462,57.4,26173,1.4
LA,Louisiana,,9,782989,39.9,1148275,58.6,29497,1.5
ME,Maine,4,,421923,57.7,295273,40.4,13967,1.9
MD,Maryland,10,,1629467,61.9,959862,36.5,42267,1.6
MA,Massachusetts,12,,1904097,61.8,1108854,36.0,68034,2.2
MI,Michigan,17,,2872579,57.4,2048639,41.0,80548,1.6
MN,Minnesota,10,,1573354,54.1,1275409,43.8,61606,2.1
MS,Mississippi,,6,554662,43.0,724597,56.2,10606,0.8
MO,Missouri,,11,1441911,49.3,1445814,49.4,37480,1.3
MT,Montana,,3,231667,47.2,242763,49.5,15872,3.2
NE,Nebraska,1,4,333319,41.6,452979,56.5,14983,1.9
NV,Nevada,5,,533736,55.1,412827,42.7,21285,2.2
NH,New Hampshire,4,,384826,54.1,316534,44.5,9610,1.4
NJ,New Jersey,15,,2215422,57.3,1613207,41.7,39608,1.0
NM,New Mexico,5,,472422,56.9,346832,41.8,10904,1.3
NY,New York,31,,4804945,62.9,2752771,36.0,83215,1.1
NC,North Carolina,15,,2142651,49.7,2128474,49.4,39664,0.9
ND,North Dakota,,3,141278,44.6,168601,53.3,6742,2.1
OH,Ohio,20,,2940044,51.5,2677820,46.9,90486,1.6
OK,Oklahoma,,7,502496,34.4,960165,65.6,0,0.0
OR,Oregon,7,,1037291,56.7,738475,40.4,52098,2.9
PA,Pennsylvania,21,,3276363,54.5,2655885,44.2,81024,1.3
RI,Rhode Island,4,,296571,62.9,165391,35.1,9804,2.1
SC,South Carolina,,8,862449,44.9,1034896,53.9,23624,1.2
SD,South Dakota,,3,170924,44.7,203054,53.2,7997,2.1
TN,Tennessee,,11,1087437,41.8,1479178,56.9,33134,1.3
TX,Texas,,34,3528633,43.7,4479328,55.5,69834,0.9
UT,Utah,,5,327670,34.4,596030,62.6,28670,3.0
VT,Vermont,3,,219262,67.5,98974,30.4,6810,2.1
VA,Virginia,13,,1959532,52.6,1725005,46.3,38723,1.0
WA,Washington,11,,1750848,57.7,1229216,40.5,56814,1.9
WV,West Virginia,,5,303857,42.6,397466,55.7,12128,1.7
WI,Wisconsin,10,,1677211,56.2,1262393,42.3,43813,1.5
WY,Wyoming,,3,82868,32.5,164958,64.8,6832,2.7
