State Abbreviation,State,Barack Obama Electoral Votes,Mitt Rommey Electoral Votes,Barack Obama Popular Votes,Barack Obama Percent,Mitt Rommey Popular Votes,Mitt Rommey Percent,All Others Popular Votes,All Others Percent
AL,Alabama,,9,795696,38.4,1255925,60.5,22717,1.1
AK,Alaska,,3,122640,40.8,164676,54.8,13179,4.4
AZ,Arizona,,11,1025232,44.6,1233654,53.7,40368,1.8
AR,Arkansas,,6,394409,36.9,647744,60.6,27315,2.6
CA,California,55,,7854285,60.2,4839958,37.1,344304,2.6
CO,Colorado,9,,1323102,51.5,1185243,46.1,61177,2.4
CT,Connecticut,7,,905083,58.1,634892,40.7,18985,1.2
DE,Delaware,3,,242584,58.6,165484,40.0,5853,1.4
DC,Dist. of Col.,3,,267070,90.9,21381,7.3,5313,1.8
FL,Florida,29,,4237756,50.0,4163447,49.1,72976,0.9
GA,Georgia,,16,1773827,45.5,2078688,53.3,47535,1.2
HI,Hawaii,4,,306658,70.5,121015,27.8,7024,1.6
ID,Idaho,,4,212787,32.6,420911,64.5,18576,2.8
IL,Illinois,20,,3019512,57.6,2135216,40.7,87286,1.7
IN,Indiana,,11,1152887,43.9,1420543,54.1,51104,1.9
IA,Iowa,6,,822544,52.0,730617,46.2,29019,1.8
KS,Kansas,,6,440726,38.0,692634,59.7,26611,2.3
KY,Kentucky,,8,679370,37.8,1087190,60.5,30652,1.7
LA,Louisiana,,8,809141,40.6,1152262,57.8,32662,1.6
ME,Maine,4,,401306,56.3,292276,41.0,19598,2.7
MD,Maryland,10,,1677844,62.0,971869,35.9,57614,2.1
MA,Massachusetts,11,,1921290,60.7,1188314,37.5,58163,1.8
MI,Michigan,16,,2564569,54.2,2115256,44.7,51136,1.1
MN,Minnesota,10,,1546167,52.7,1320225,45.0,70169,2.4
MS,Mississippi,,6,562949,43.8,710746,55.3,11889,0.9
MO,Missouri,,10,1223796,44.4,1482440,53.8,51087,1.9
MT,Montana,,3,201839,41.7,267928,55.4,14281,3.0
NE,Nebraska,,5,302081,38.0,475064,59.8,17234,2.2
NV,Nevada,6,,531373,52.4,463567,45.7,19978,2.0
NH,New Hampshire,4,,369561,52.0,329918,46.4,11493,1.6
NJ,New Jersey,14,,2125101,58.4,1477568,40.6,37623,1.0
NM,New Mexico,5,,415335,53.0,335788,42.8,32635,4.2
NY,New York,29,,4485741,63.3,2490431,35.2,104987,1.5
NC,North Carolina,,15,2178391,48.4,2270395,50.4,56586,1.3
ND,North Dakota,,3,124827,38.7,188163,58.3,9637,3.0
OH,Ohio,18,,2827709,50.7,2661437,47.7,91701,1.6
OK,Oklahoma,,7,443547,33.2,891325,66.8,0,0.0
OR,Oregon,7,,970488,54.2,754175,42.1,64607,3.6
PA,Pennsylvania,20,,2990274,52.0,2680434,46.6,82962,1.4
RI,Rhode Island,4,,279677,62.7,157204,35.2,9168,2.1
SC,South Carolina,,9,865941,44.1,1071645,54.6,26532,1.4
SD,South Dakota,,3,145039,39.9,210610,57.9,8166,2.2
TN,Tennessee,,11,960709,39.1,1462330,59.5,35538,1.4
TX,Texas,,38,3308124,41.4,4569843,57.2,115884,1.4
UT,Utah,,6,251813,24.7,740600,72.8,25027,2.5
VT,Vermont,3,,199239,66.6,92698,31.0,7353,2.5
VA,Virginia,13,,1971820,51.2,1822522,47.3,60147,1.6
WA,Washington,12,,1755396,56.2,1290670,41.3,79450,2.5
WV,West Virginia,,5,238269,35.5,417655,62.3,14514,2.2
WI,Wisconsin,10,,1620985,52.8,1407966,45.9,39483,1.3
WY,Wyoming,,3,69286,27.8,170962,68.6,8813,3.5
