Electoral Vote Total,Candidate (Party Label),Popular Vote Total,Percent of Popular Vote
332,Barack Obama (Democrat),65915795,51.06
206,Mitt Romney (Republican),60933504,47.2
0,"Gary Johnson (Libertarian, Independent)",1275971,0.99
0,"Jill Stein (Green, Pacific Green, Mountain, Independent)",469627,0.36
0,Write-In (Miscellaneous),136040,0.11
0,"Virgil Goode (Constitution, Independent American, U.S. Taxpayers)",122389,0.09
0,Roseann Barr (Peace and Freedom),67326,0.05
0,"Ross C. ""Rocky"" Anderson (Justice, Progressive, Independent)",43018,0.03
0,"Tom Hoefling (American Independent, America's Party)",40628,0.03
0,Randall Terry (Independent),13107,0.01
0,Richard Duncan (Independent),12557,0.01
0,Peta Lindsay (Socialism and Liberation),7791,0.01
0,None of These Candidates,5770,0.00
0,Chuck Baldwin (Reform),5017,0.00
0,Will Christensen (Constitution),4453,0.00
0,Stewart Alexander (Socialist),4405,0.00
0,James Harris (Socialist Workers),4117,0.00
0,Thomas Robert Stevens (Objectivist),4091,0.00
0,Jim Carlson (Grassroots),3149,0.00
0,Jill Reed (Unaffiliated),2877,0.00
0,"Merlin Miller (American Third Position, Independent)",2701,0.00
0,"Sheila ""Samm"" Tittle (We the People) ",2572,0.00
0,"Gloria La Riva (Socialism and Liberation, Independent)",1608,0.00
0,"Jerry White (Socialist Equality, Independent)",1279,0.00
0,Dean Morstad (Constitutional Government),1094,0.00
0,Jerry Litzel (Independent),1027,0.00
0,Barbara Dale Washer (Reform),1016,0.00
0,Jeff Boss (NSA Did 911),1007,0.00
0,Andre Barnett (Reform),956,0.00
0,Jack Fellure (Prohibition),518,0.00
