State Abbreviation,State,Joe Biden Electoral Votes,Donald Trump Electoral Votes,Joe Biden Popular Votes,Joe Biden Percent,Donald Trump Popular Votes,Donald Trump Percent,All Others Popular Votes,All Others Percent
AL,Alabama,,9,849624,36.6,1441170,62.0,32488,1.4
AK,Alaska,,3,153778,42.8,189951,52.8,15801,4.4
AZ,Arizona,11,,1672143,49.4,1661686,49.1,53497,1.6
AR,Arkansas,,6,423932,34.8,760647,62.4,34490,2.8
CA,California,55,,11110639,63.5,6006518,34.3,384223,2.2
CO,Colorado,9,,1804352,55.4,1364607,41.9,88021,2.7
CT,Connecticut,7,,1080831,59.3,714717,39.2,28309,1.6
DE,Delaware,3,,296268,58.7,200603,39.8,7475,1.5
DC,Dist. of Col.,3,,317323,92.1,18586,5.4,8447,2.5
FL,Florida,,29,5297045,47.9,5668731,51.2,101680,0.9
GA,Georgia,16,,2473633,49.5,2461854,49.2,64473,1.3
HI,Hawaii,4,,366130,63.7,196864,34.3,11475,2.0
ID,Idaho,,4,287021,33.1,554119,63.8,26794,3.1
IL,Illinois,20,,3471915,57.5,2446891,40.6,114938,1.9
IN,Indiana,,11,1242498,41.0,1729857,57.0,60855,2.0
IA,Iowa,,6,759061,44.9,897672,53.1,34138,2.0
KS,Kansas,,6,570323,41.5,771406,56.1,32257,2.3
KY,Kentucky,,8,772474,36.2,1326646,62.1,37648,1.8
LA,Louisiana,,8,856034,39.9,1255776,58.5,36252,1.7
ME*,Maine,3,1,435072,53.1,360737,44.0,23652,2.9
MD,Maryland,10,,1985023,65.4,976414,32.2,75593,2.5
MA,Massachusetts,11,,2382202,65.6,1167202,32.1,81998,2.3
MI,Michigan,16,,2804040,50.6,2649852,47.8,85410,1.5
MN,Minnesota,10,,1717077,52.4,1484065,45.3,76029,2.3
MS,Mississippi,,6,539398,41.1,756764,57.6,17597,1.3
MO,Missouri,,10,1253014,41.4,1718736,56.8,54212,1.8
MT,Montana,,3,244786,40.5,343602,56.9,15286,2.5
NE*,Nebraska,1,4,374583,39.2,556846,58.2,24954,2.6
NV,Nevada,6,,703486,50.1,669890,47.7,32000,2.3
NH,New Hampshire,4,,424937,52.7,365660,45.4,15608,1.9
NJ,New Jersey,14,,2608400,57.3,1883313,41.4,57744,1.3
NM,New Mexico,5,,501614,54.3,401894,43.5,20457,2.2
NY,New York,29,,5244886,60.9,3251997,37.7,119978,1.4
NC,North Carolina,,15,2684292,48.6,2758775,49.9,81737,1.5
ND,North Dakota,,3,115042,31.8,235751,65.1,11231,3.1
OH,Ohio,,18,2679165,45.2,3154834,53.3,88203,1.5
OK,Oklahoma,,7,503890,32.3,1020280,65.4,36529,2.3
OR,Oregon,7,,1340383,56.5,958448,40.4,75490,3.2
PA,Pennsylvania,20,,3458229,49.9,3377674,48.7,101073,1.5
RI,Rhode Island,4,,307486,59.4,199922,38.6,10349,2.0
SC,South Carolina,,9,1091541,43.4,1385103,55.1,36685,1.5
SD,South Dakota,,3,150471,35.6,261043,61.8,11095,2.6
TN,Tennessee,,11,1143711,37.5,1852475,60.7,57665,1.9
TX,Texas,,38,5259126,46.5,5890347,52.1,165583,1.5
UT,Utah,,6,560282,37.6,865140,58.1,62867,4.2
VT,Vermont,3,,242820,66.1,112704,30.7,11904,3.2
VA,Virginia,13,,2413568,54.1,1962430,44.0,84526,1.9
WA,Washington,12,,2369612,58.0,1584651,38.8,133368,3.3
WV,West Virginia,,5,235984,29.7,545382,68.6,13365,1.7
WI,Wisconsin,10,,1630866,49.4,1610184,48.8,56991,1.7
WY,Wyoming,,3,73491,26.6,193559,69.9,9715,3.5
